EDR ID,Locus Inventionis
EDR072296,"Pompei (Napoli), Regio V.6.c, ad dextram ostii, facade"
EDR074234,"Pompei (Napoli), Regio VII.12.13-14, facade"
EDR079495,"Pompei (Napoli), Regio III.5.2-3, facade"
EDR140125,"Ercolano (Napoli), R of Insula V.1, Facade"
EDR140129,"Ercolano (Napoli), R of Insula V.1, Facade"
EDR140135,"Ercolano (Napoli), R of Insula V.1, Facade"
EDR140143,"Ercolano (Napoli), Insula III.16-17, Facade"
EDR140171,"Ercolano (Napoli), Insula IV.6, Facade"
EDR145942,"Ercolano (Napoli), Insula IV.10, Facade"
EDR147517,"Pompei (Napoli), Regio I.13.9-10, facade"
EDR148022,"Pompei (Napoli), Regio VI.15.11, facade"
EDR148379,"Pompei (Napoli), Regio I.11.4-5, facade"
EDR147717,"Pompeii (Napoli), Regio VII.7.32, facade"
EDR147916,"Pompei (Napoli), Regio I.7, facade"
EDR149185,"Pompei (Napoli), Regio I.4.6-7, Facade"
EDR149334,"Pompei (Napoli), Regio II.4.7-8, NE corner of insula, Facade, Aedicula"
EDR149040,"Pompei (Napoli), Regio II.4.5-6, Facade"
EDR149042,"Pompei (Napoli), Regio II.4.6-7, Facade"
EDR149044,"Pompei (Napoli), Regio II.4.6-7, Facade"
EDR149045,"Pompei (Napoli), Regio II.4.6-7, Facade"
EDR149323,"Pompei (Napoli), Regio II.4.7-8, NE corner of insula, Facade, Aedicula"
EDR149324,"Pompei (Napoli), Regio II.4.7-8, NE corner of insula, Facade, Aedicula"
EDR149331,"Pompei (Napoli), Regio II.4.7-8, NE corner of insula, Facade, Aedicula"
EDR149332,"Pompei (Napoli), Regio II.4.7-8, NE corner of insula, Facade, Aedicula"
EDR149344,"Pompei (Napoli), Regio II.4.7-8, NE corner of insula, Facade, Aedicula"
EDR149490,"Pompei (Napoli), Regio II.5.3, facade"
EDR149197,"Pompei (Napoli), Regio VIII.5.19, facade"
EDR149213,"Pompei (Napoli), Regio VIII.5.7-8, facade"
EDR150188,"Pompei (Napoli), Regio VIII.5.23-24, facade"
EDR150397,"Pompei (Napoli), Regio VIII.5.19, facade"
EDR149187,"Pompei (Napoli), Regio I.4.22-23, Facade"
EDR149335,"Pompei (Napoli), Regio II.4.7-8, NE corner of insula, Facade, Aedicula"
EDR149337,"Pompei (Napoli), Regio II.4.7-8, NE corner of insula, Facade, Aedicula"
EDR149338,"Pompei (Napoli), Regio II.4.7-8, NE corner of insula, Facade, Aedicula"
EDR149340,"Pompei (Napoli), Regio II.4.7-8, NE corner of insula, Facade, Aedicula"
EDR149403,"Pompei (Napoli), Regio II.4.7-8, NE corner of insula, Facade, Aedicula"
EDR149404,"Pompei (Napoli), Regio II.4.7-8, NE corner of insula, Facade, Aedicula"
EDR149405,"Pompei (Napoli), Regio II.4.7-8, NE corner of insula, Facade, Aedicula"
EDR149406,"Pompei (Napoli), Regio II.4.7-8, NE corner of insula, Facade, Aedicula"
EDR149434,"Pompei (Napoli), Regio II.4.5-6, facade, Praedia di Giulia Felice (ostium incertum)"
EDR140057,"Ercolano (Napoli), Insula V.35, Casa del Gran Portale, Facade"
EDR140127,"Ercolano (Napoli), Insula V.35, Casa del Gran Portale, Facade"
EDR147862,"Pompei (Napoli), Regio I.13.9-10, Facade"
EDR147874,"Pompei (Napoli), Regio III.5.3-4, facade"
EDR147877,"Pompei (Napoli), Regio VI.9 o VI.10, Via di Mercurio, Facade"
EDR147878,"Pompei (Napoli), Regio I.6.14-15, facade"
EDR147929,"Pompei (Napoli), Regio I.6.14-15, facade"
EDR147933,"Pompei (Napoli), Regio VI.15.8-9, facade"
