EDR entry,CIL#,"a, b, etc.",Langner #,City,Regio,Insula # or OutsideWalls or WithinWalls,Main Entrance,Property Name - English,Drawing Category,Caption for Graffito,Latin Description of Figural Graffito,English Translation of Description ,Commentary ,AGP = Update of CIL?,Contributors
 ,,,Does the CIL # have a drawing with a Langner #,,,(no spaces in the names),,,,,Latin Description ,,,,
EDR144356,,,40,Herculaneum,,VI,"1,7-10",Central Baths,Geometric designs,Drawing of circles,sex circuli quorum duo simplices et quattor duplices sunt,"six circles, two single and four double",,,
EDR145941,10493,,187,Herculaneum,,Within Walls,,Decumanus Inferior,Human figures,Greetings (?) to Isidorus,viri caput,head of a man,,,
EDR145942 ,10526,,213,Herculaneum,,IV,10,Taberna,Human figures,Graffito naming Proculus,herma viri,bust of a man,,,
EDR144357,10676 (nota),not published yet,278,Herculaneum,,OutsideWalls,,Suburban Baths,Human figures,Drawing of a man,herma viri,bust of a man,,,
EDR143636,10676 (nota),,309,Herculaneum,,OutsideWalls,,Suburban Baths,Human figures,Drawing of a head,"caput acutum cum nasone longo et corona, gryllus?","pointed head with long nose and garland wreath, caricature?",,,
EDR156782,10673 (nota),,383,Herculaneum,,WithinWalls,,Sewer Access,Gladiators,Drawing of a gladiator's head,caput gladiatoris ad sin. versum et galea armatum,"head of a gladiator with helmet, facing left",,,
EDR147607 ,10604 (nota),,384,Herculaneum,,VI,"1,7-10",Central Baths,"Human figures, Plants",Drawing of a man and a palm branch,herma viri cum palma,bust of man with palm,,,
EDR145296 ,10586 (nota),,486,Herculaneum,,V,31,House of the Wooden Shrine,Human figures,Drawing of a man,vir ad sin. prospiciens,man facing left,,,
EDR145771,10561 (nota),,734,Herculaneum,,IV,21,House of Stags,Human figures,"
Drawing of a man",figura hominis,figure of a man,,,
EDR145384,,,903,Herculaneum,,II,2,House of Argus,Gladiators,Drawing of a gladiator,gladiator gladio et scuto longo armatus,gladiator armed with sword and long shield,,,
EDR143900,10561 (nota),,909,Herculaneum,,IV,21,House of Stags,Gladiators,Drawing of a gladiator,"gladiator, murmillo galea et scuto armatus","gladiator, murmillo type with helmet and shield",,,
EDR143814,10711 (nota),,963,Herculaneum,,V,35,House of the Grand Portal,Gladiators,Drawing of a gladiator helmet,galea gladiatoria cum crista ad dext.,gladiator helmet with crest facing right,,,
EDR143815,10711 (nota),,964,Herculaneum,,V,35,House of the Grand Portal,Gladiators,Drawing of a gladiator helmet,galea gladiatoria cum crista ad dext.,gladiator helmet with crest facing right,,,
EDR143832,10711 (nota),,965,Herculaneum,,V,35,House of the Grand Portal,Gladiators,Drawing of a gladiator helmet,galea gladiatoria cum crista ad dext.,gladiator helmet with crest facing right,,,
EDR147158,10711 (nota),,966,Herculaneum,,V,35,House of the Grand Portal,Gladiators,Drawing of a gladiator helmet,galea gladiatoria,gladiator helmet,,,
EDR143833 ,10711 (nota),,967,Herculaneum,,V,35,House of the Grand Portal,Gladiators,Drawing of a gladiator helmet,galea gladiatoria,gladiator helmet,,,
EDR144783,10711 (nota),,968,Herculaneum,,V,35,House of the Grand Portal,Gladiators,Drawing of a gladiator helmet,galea gladiatoria cum crista,gladiator helmet with crest facing right,,,
EDR144784 ,10711 (nota),,969,Herculaneum,,V,35,House of the Grand Portal,Gladiators,Drawing of a gladiator helmet,galea gladiatoria cum crista,gladiator helmet with crest,,,
