EDR#,CIL#,"a, b, c, d or Varone #",Langner #,Insula,Text of Inscription,Caption for graffito,Translation,,AGP = Update of CIL?,Contributors,,Commentary 
Use blue for recommendations for graffiti to protect,,,,only in arabic numerals for sorting,Do not change this field right now. ,,Do we put the translations in quotation marks?  How do we handle letters/words that can't be read?,,,In the field,,
EDR159778,5450,,,locus incertus,,Graffito mentioning animals,"He sent, a second time, female lambs (...other letters here...) ",,,,,
EDR145941,10493,,187,,va(le?) / [- - -]rio [I?]sidoru / IX ((:viri caput)),Greetings (?) to Isidorus ,"Greetings . . . to Isidorus(?). ""9""",,,,,This graffito is a cluster and has both text and art.  
EDR140055,10495,a,,3,IIIIIIIIIIIIIIIIIIIIIIIIIIIIII,Tally marks,"""30""",,,,,All tally marks are connected by a single line below. There are thirty talley marks.These tally marks occur in close proximity to CIL IV.10495b and CIL IV.10495c.
EDR140246,10495,b,,3,I,Tally mark,"""1""",,,,,This single tally mark occurs in close proximity to CIL IV.10495a and CIL IV.10495c.
EDR140136,10495,c,,3,XI,Tally marks,"""11""",,,,,"Because of this graffito's close proximity to CIL IV.10495 a. and CIL IV.10495b, we have tagged it with ""Tally mark"" instead of ""Number"". "
EDR151948,10496,,,3,Rẹmnius Rufus,Graffito naming Remnius Rufus,Remnius Rufus,,,,,"CIL reads this inscription as ""Remnius"", but it is possible that the two m's of Remnius are in nexus. This reading would make the graffito the name Remius Rufus, which could make sense because he is a well known benefactor of Herculaneum. Marcus Remmius Rufus is both the name of a father and son who were duovirs together at least twice. The name of both the father and the son, Remii Rufi, are named in  a lengthy Herculanean stone inscription CIL X. 1453.They were both given the honors of diligenter for fixing the weights of the grain scale in the city, which is the reason for the long inscription. Remmius Rufus senior is also named in CIL. X 1455. "
EDR140046,10497,,,3,Col/((denarius))/ono,Graffito naming Colonus,A denarius to (for?) Colonus,,,,,The symbol 𐆖 represents a denarius.
EDR140258,10498,a,,3,Mus nequam,Graffito,Mus never(?),,,,,"Mus could be a name or the animal mouse, the meaning is unclear here. The name ""Mus"" appears elsewhere in Herculaneum, CIL IV.10678 and CIL IV.10643c. If Mus is a name, it would be an insult becuase the graffito would be translated as ""useless Mus"". 4 graffiti appeared together. One says ""mus nequam."" Three others are false starts on ""mus nequa.""   "
EDR151800,10498,b,,3,S nequam,Graffito,S never(?),,,,,"4 graffiti appeared together. We filled in ""mu"" before the ""s"" to match the ""mus"" of the others. For full commentary, see CIL IV.10498a."
EDR151801,10498,c,,3,Mus,Graffito,Mus (personal name) OR mouse,,,,,"4 graffitI appeared together. It is unclear whether we should supply ""nequam."" For full commentary, see CIL IV.10498a."
EDR151802,10498,d,,3,MMMMus,Graffito,MMMMus (personal name) OR MMMMouse,,,,,"4 graffiti appeared together. It is unclear whether we should supply ""nequam."" This inscription begins with several false starts. 3 ""m""s appear. For full commentary, see CIL IV.10498a."
EDR140254,10499,,,3,Idibus Ianuarius / mystagogus docens / Gebeum et Ẹṭọẹn / ḷục̣ịạn+ vic̣ic̣,Graffito mentioning a date and someone teaching,"On the Ides of January, the guide (religious guide?) teaching Gebeus(?) and Etoe(?) (neither name is otherwise known) (...other letters here...)",,,,,"Come back here--- Cicero says mystagogus can be guide who shows you around a site.  μυσταγωγός      A mystagogus is a special kind of priest who inducts initiants into the mystery cult of a particular deity. The fourth line may be written in different hand and therefore not related to the rest of the text. This graffito was found on a upper floor which mean it is no longer accessible. There are two line drawings with differing ideas on what it says, which makes a reading very difficult."
