term,lemma
"ʾ",ʾ
"((%1000))",((%1000))
"(((:navis",(((:navis
"((centuria))",((centuria))
"((circulus fortasse rota))",((circulus fortasse rota))
"((denarium))",((denarium))
"((denarium?))",((denarium?))
"((denarius))",((denarius))
"((mille))",((mille))
"((quadrans))",((quadrans))
"((quinque centum))",((quinque centum))
"((s retrogradum))",((s retrogradum))
"((scripula?))",((scripula?))
"((semis))",((semis))
"((sestertii))",((sestertii))
"((sextans))",((sextans))
"((signa duo))",((signa duo))
"((signum incertum))",((signum incertum))
"((signum))",((signum))
"((uncia))",((uncia))
"(:cllerigenes?)",(:cllerigenes?)
"(accepit)",(accepit)
"(assibus)",(assibus)
"(de)t(ractis)",(de)t(ractis)
"(no)nas",(no)nas
"(or",(or
"(rationis)",(rationis)
"//ετειμηκττονπδρι////ξο///",//ετειμηκττονπδρι////ξο///
"/δφξβ",/δφξβ
"[ εὑ]ρὼν",[ εὑ]ρὼν
"`q´suino",`q´suino
"᾽επαφροδίτοϲ",᾽επαφροδίτοϲ
"<ad",<ad
"<ἀ>ριθμὸς",<ἀ>ριθμὸς
a,ab
abellanus,abellanus
abonius,abonius
absistit,absisto
absyrtus,Absyrtus
ac,ac
ac(ce)pi,ac(ce)pi
acanthus,acanthus
acastus,acastus
accepi,accepi
accepit,accepit
acceptum,acceptatio
accia,accia
accipe,accipe
acetabula,acetabulum
acutius,acute
acutus,acutus
acutum,acutus
ad,ad
adauctus,adaugeo
adiecta,adiectus
admiror,admiror
adsueta,adsuetus
assultatus,adsulto
aebuti,aebuti
aedes,aedes
aedificium,aedificium
aedilis,aedilis
aedituus,aedituus
aegle,aegle
aegrotes,aegrotare
aelius,aelius
aemilio,aemilius
aenea,Aeneas
aeneam,aeneus
aequae,aequatus
aequoribus,aequor
aestost,aestost
africana,africana
africano,africano
africanus,Africanus
agathemerus,Agathemerus
ager,ager
agnas,agna
age,ago
acti,ago
agit,ago
agrippa,agrippa
aeris,ait
aiunt,aiunt
albanius,albanius
albanus,Albanus
albinus,Albinus
alcestis,Alcestis
algemus,algeo
aliae,alia
alica,alica
aliis,aliquis
alisque,alisque
alis,alius
alleius,alleius
alter,alter
alterum,alter
alterae,alter
altera,altero
aluntius,aluntius
amabiliter,amabiliter
amantes,amans
ames,amanter
amare,amare
amator,amator
amata,amatus
amethyste,Amethyste
am,ami
amicus,amicus
amissos,amitto
ammonium,ammonium
amat,amo
amas,amo
amon,amon
amonius,amonius
amor,amor
ampelus,Ampelos
ampliatus,ampliatus
ampliandam,amplio
amv,amv
anaticulas,anaticula
anatolii,anatolii
anchario,anchario
ancillam,ancilla
and,andes
ana,androgynes
anedia,anedia
