EDR #,Category,Translation,Text,CIL,,,,,,
EDR147687,Occupations,"Crescens, the architect",Crescens architectus,4755,,,,,,
EDR175571,Occupations,The dry-cleaner Crescens says hi to the innkeeper,Fullo Crescens coponi sal,4100,,,,,,
EDR149325,Occupations,"Priscus, the engraver, to Campanus, the gem-maker: wishing you well! (May things go happily for you!)",Priscus caelator Campano gemmario feliciter,8505,,,,,,
EDR175572,Occupations,Crescens gives greetings to the dry-cleaners (clothes launderers) here and everywhere,Cresces fullonibus salutem hic et ubique,4120,,,,,,
EDR175589,Occupations,"Successus the weaver is in love with the slave of the inn-keeper, whose name is Iris. She doesn’t care about him at all, but he asks that she take pity on him.

A rival wrote this. See ya!","Successus textor amat coponiaes ancilla(m)
nomine Hiredem quae quidem illum
non curat sed ille rogat illa com(m)iseretur

scribit rivalis vale",8259,,,,,,
,,,,,,,,,,
EDR140188,Gladiators,"Eight days before the Kalends of March,
sponsored by Numisius Genialis
10 pairs of gladiators
(will compete) in Herculaneum.","VIII K(alendas) Martias
Numisii Genialis
gladiatorum paria X
Herculani",10579,,,,,,
EDR173125,Gladiators,"(A sketch of two gladiators fighting has these labels...)

Marcus Attilius, a novice - WON!

Hilarus, gladiator from the imperial training school, with 14 wins and 13 trophies - LOST
 
(N.B. Hilarus was sent out of the arena (missus) defeated - but not killed.)","((:duo gladiatores pugnantes))

M. Attilius t(iro) v(icit)

Hilarus Ner(onianus) XIV ) XIII
m(issus est)",10238a,,,,,,
EDR143900,Gladiators,(Drawing of a murmillo type of gladiator),"((:gladiator, murmillo galea et scuto armatus))",10561 (nota),,,,,,
EDR167858,Gladiators,(Drawing of a gladiator match),((:duo gladiatores pugnantes)),,,,,,,
EDR175482,Gladiators,"The girls' heartthrob!
The Thracian (gladiator)
Celadus, of Octavius -- 3 wins, 3 trophies","Suspirium puellarum
TR
Celadus Oct(avii)  III ) III",4342,,,,,,
,,,,,,,,,,
EDR151867,Food,Wine was received by the master on the 7th day before the Ides of April.,"Vinum acceptum
ab domino VII Idus Apriles",10565,,,,,,
EDR140195,Food,"On the 11th day before the Kalends, bread was made. Three days before the Nones, bread was made. <del>Three</del>","XI K(alendas) pane factum
III Nonas pane factum
〚III〛",10575,,,,,,
EDR167574,Food,"At Pompeii(?) 3 1/2 (coins) 
1 pound of lard - 3 coins 
Wine - 1 1/2 coins 
Cheese - 1 1/2 coins 
Olive oil - 1 coin 
Bread - 2 1/2 coins 
Pork - 4 coins","Pompe ++ III S(emis)
P(ondo?) lard(i) a(ssibus) III
Vinum a(sse) S(emis)
Casium a(sse) S(emis)
Oleum a(sse) I
Panem a(ssibus) II S(emis)
Suar(ium?) a(ssibus) IIII",8561a,,,,,,
