Name,Name Type,Person Type,Gender,Language
Absyrtus,,,,
Aeneas,,,,
Africanus,,,,
Agathemerus,,,,
Albanus,,,,
Albinus,,,,
Alcestis,,,,
Amethyste,,,,
Anicetum,,,,
Anicia,,,,
Annius,,,,
Anthis,,,,
Antonius,,,,
Antymus,,,,
Apollinaris,,,,
Apollonia,,,,
Arrius,,,,
Artorius,,,,
Atimetus,,,,
Attice,,,,
Auctillus,,,,
Beronice,,,,
Caesar,,,,
Caetronius,,,,
Caius,,,,
Callistus,,,,
Careius,,,,
Chius,,,,
Chloe,,,,
Cinnamus,,,,
Clemens,,,,
Cyparis,,,,
Cτρατονικοc,,,,
Daphnus,,,,
David,,,,
Echio,,,,
Epagathus,,,,
Epaphroditum,,,,
Epicurus,,,,
Epidius,,,,
Euhodus,,,,
Euplia,,,,
Evanthus,,,,
Fabia,,,,
Fabius,,,,
Faustillam,,,,
Faustio,,,,
Faustus,,,,
Feliculam,,,,
Floronius,,,,
Fortunata,,,,
Fortunatus,,,,
Fronto,,,,
Fructus,,,,
Fuficia,,,,
Fuluius,,,,
Fuscus,,,,
Geganius,,,,
Hermeros,,,,
Holconi,,,,
Hortensius,,,,
Hostius,,,,
Hyacinthus,,,,
Hyginus,,,,
Ianuaria,,,,
Ianuarius,,,,
Iarinus,,,,
Icarus,,,,
Iulia,,,,
Iulias,,,,
Iulius,,,,
Iunius,,,,
Lalius,,,,
Laviniam,,,,
Lollianus,,,,
Lollius,,,,
Longinus,,,,
Lucilius,,,,
Lucius,,,,
Lucreti,,,,
Lucrius,,,,
Marca,,,,
Marcellus,,,,
Marcius,,,,
Marcus,,,,
Modestus,,,,
Mopsus,,,,
Mula,,,,
Mus,,,,
Myrine,,,,
Mysticus,,,,
Nauplius,,,,
Nicanor,,,,
Nicopolis,,,,
Noeto,,,,
Onesimus,,,,
Paris,,,,
Phoebus,,,,
Pierus,,,,
Popillius,,,,
Popius,,,,
Porcius,,,,
Postumus,,,,
Primigenia,,,,
Primigenius,,,,
Procame,,,,
Proculus,,,,
Publius,,,,
Quartilla,,,,
Romulus,,,,
Rufinus,,,,
Rufula,,,,
Rufus,,,,
Sabina,,,,
Sabinus,,,,
Saturninae,,,,
Saturninus,,,,
Sempronius,,,,
Septumius,,,,
Silentiolus,,,,
Sisininus,,,,
Spaerus,,,,
Stratonicus,,,,
Suellius,,,,
Symmachus,,,,
Symphorus,,,,
Syneros,,,,
Synethus,,,,
Syrus,,,,
Tertius,,,,
Tiberius,,,,
Timinia,,,,
Tiro,,,,
Titinius,,,,
Titus,,,,
Tύχη,cognomen,attested,review,Greek
Valentina,,,,
Venus,,divine,,
Venustus,,,,
Verginiam,,,,
Vinicius,,,,
Vitalio,,,,
Vivanius,,,,
Voconius,,,,
Voltinia,,,,
Votronius,,,,
Ὑγεῖνος,cognomen,attested,,Greek
Δημόκριτος,cognomen,attested,,Greek
Διογένης,cognomen,attested,,Greek
Εὐπρέπης,cognomen,attested,,Greek
Εὐστάθιος,cognomen,attested,,Greek
Εὐφροσύνη,cognomen,attested,,Greek
Θάλλος,cognomen,attested,,Greek
Θεαγένης,cognomen,attested,,Greek
Κέλσος,cognomen,attested,,Greek
Ἀλέξανδρος,cognomen,attested,,Greek
Λεόντιος Λεοντίσκος,cognomen,attested,,Greek
Λούκιος,cognomen,attested,,Greek
Νεικήτης,cognomen,attested,,Greek
Νεῖλος,cognomen,attested,,Greek
Ὀνήσιμος,cognomen,attested,,Greek
Παρθένα,cognomen,attested,,Greek
Πρυτανικός,cognomen,attested,,Greek
Ἡρακλείδης,cognomen,attested,,Greek
Ἀρτεμίδωρος,cognomen,attested,,Greek
Σαβεῖνος,cognomen,attested,,Greek
Ἰσίδωρος,cognomen,attested,,Greek
Ἴσις,cognomen,divine,,Greek
Τίτος,cognomen,attested,,Greek
Τροφίμη,cognomen,attested,,Greek
Φιλεῖνος,cognomen,attested,,Greek
Φίλιππος,cognomen,attested,,Greek
Φοῦσκος,cognomen,attested,,Greek
Χαρίας,cognomen,attested,,Greek
Χαρίτων,cognomen,attested,,Greek
