term,lemmatized
((:navis)),((:navis))
anthis,anthis
vale,val
nicopolis,nicopolis
((:circulus,((:circulus
continens,contineo
florem)),florem))
plataco,plataco
turuda,turuda
((:navis,((:navis
cum,cum
remis)),remis))
((:carina,((:carina
navis,navus
et,et
navis,navus
cum,cum
remis,remi
instructa)),instructa))
((:crux,((:crux
orbiculis,orbiculis
ad,ad
extremum,exter
bracchiorum)),bracchiorum))
((:duo,((:duo
phalli,phalli
ad,ad
d)),d))
primus,primus
((:palma)),((:palma))
&#60;:vacat&#62;,&#60;:vacat&#6;
αβγ,αβγ
((:phallus,((:phallus
ad,ad
dext)),dext))
((:quadrupes,((:quadrupes
ad,ad
d,d
erectus)),erectus))
emis,emo
k,k
marcius,marcius
atimetus,atimetus
((:taurus,((:taurus
ad,ad
d)),d))
πiiii,πiiii
((:gladiator,((:gladiator
ad,ad
d,d
galea,galea
scuto,scutum
subligaculo,subligaculum
ocreis,ocrea
armatus)),armatus))
assibus,assis
stabuli,stabulis
((:trophaeum?)),((:trophaeum?))
ii+,ii+
((:gladiator,((:gladiator
cum,cum
tridenti,tridens
ad,ad
sin,sin
retiarius)),retiarius))
((:caput,((:caput
hominis,homo
ad,ad
sin,sin
conversum)),conversum))
vasa,vasum
((:avis,((:avis
externa,externus
in,in
arboris,arbor
ramo,ramus
stans)),stans))
felices,felix
((:gladiator,((:gladiator
galea,galea
cristata,cristatus
scuto,scutum
sicaque,sicaque
armatus,armo
et,et
fasciis,fascia
subligaculo,subligaculum
ocreisque,ocrea
indutus)),indutus))
((:galea,((:galea
gladiatoria)),gladiatoria))
((:gladiator,((:gladiator
ad,ad
d,d
armatus)),armatus))
((:herma,((:herma
ad,ad
sin)),sin))
((:gladiator,((:gladiator
gladio,gladius
et,et
scuto,scutum
longo,longus
armatus)),armatus))
((:circulus,((:circulus
circulos,circulus
continens)),continens))
victorie,victorie
((:tropaion?)),((:tropaion?))
anteros,anteros
hoc,hic
scripsit,scribo
((:caput,((:caput
gladiatoris?,gladiatoris?
ad,ad
d)),d))
quisquis,quisquis
hellespontus,hellespontus
((:scutum)),((:scutum))
ikarus,ikarus
θ,θ
vesbinus,vesbinus
((:caput,((:caput
hominis,homo
ad,ad
sin)),sin))
((:galea,((:galea
gladiatoria,gladiatorius
cristata)),cristata))
((:figura,((:figura
hominis)),hominis))
firmus,firmus
diogenes,diogenes
((:figura,((:figura
hominis,homo
ad,ad
d,d
induta,induo
palliolo)),palliolo))
((:figura,((:figura
gladiatoris,gladiator
cum,cum
galea,galea
ac,atque
fortasse,fortasse
scuto)),scuto))
victor,victor
cum,cum
victoria,victoria
invicta,invictus
hic,hic
((:navis,((:navis
cum,cum
malo,malus
velo,velo
et,et
remis)),remis))
((:figura,((:figura
hominis?)),hominis?))
cxxxiλλ,cxxxiλλ
((:navis,((:navis
cum,cum
remis,remi
maloque)),maloque))
((:navis,((:navis
cum,cum
velo)),velo))
fortunata,fortunata
fellat,fello
sabine,sabine
καλός,καλός
hermeros,hermeros
te,tu
amat,amo
calos,calos
((:labyrinthus,((:labyrinthus
circularis)),circularis))
((:circulus)),((:circulus))
((:circulus,((:circulus
florem,flos
continens)),continens))
((:circulus,((:circulus
fortasse,fortasse
rota)),rota))
((:navis,((:navis
instructa,instruo
velis)),velis))
((:phallus)),((:phallus))
rationem,ratio
mi,ego
ponis,pono
batacare,batacaris
pedicavero,pedicavero
ana,ano
[---],[]
((:circulus,((:circulus
circino,circino
tractus,traho
et,et
florem,flos
continens)),continens))
((:circuli,((:circulis
circino,circino
tracti)),tracti))
((:casulae,((:casulae
frons,frons
cui,qui
et,et
ad,ad
d,d
et,et
ad,ad
sin,sin
palma,palmo
adiecta,adiicio
est,sum
et,et
cuius,qui
portam,porta
quadrupes,quadrupes
petit,peto
qui,qui
cornibus,cornu
longis,longus
in,in
cervi,cervus
modum,modus
praeditus,praeditus
esse,sum
videtur)),videtur))
amabiliter,amabilis
((:figura,((:figura
hominis,homo
currens,curro
ad,ad
dex)),dex))
micciociocio,micciociocio
tu,tu
tuo,tuus
patri,pater
cacanti,caco
confregisti,confringo
peram,pera
miccionis,miccio
statum,status
considerate,considero
((:circulus,((:circulus
et,et
lineae)),lineae))
cosmus,cosmus
quartill[-]a,quartill[]a
((:figura,((:figura
stans)),stans))
((:venatio,((:venatio
eques,eques
ad,ad
d,d
hasta,hasta
scuto,scutum
gladioque,gladius
armatus,armo
cervum,cervus
iaculo,jaculus
vulneratum,vulnero
prosequens)),prosequens))
((:equus,((:equus
ornatus,orno
et,et
infrenatus,infrenatus
ad,ad
sin,sin
currens)),currens))
((:navis,((:navis
cum,cum
malo,malus
velis,velis
remis,remi
et,et
gubernatore)),gubernatore))
((:navis,((:navis
malo,malus
et,et
prora,prora
et,et
aplustri,aplustri
instructa)),instructa))
((:navis,((:navis
instructa,instruo
velis,velis
