EDR entry,CIL#,"a, b, etc.",Langner,City,Regio,Insula # or OutsideWalls or WithinWalls,Main Entrance,Property Name - English,Drawing Category,Caption for Graffito,Latin Description of Figural Graffito,English Description of Figural Graffito,,
EDR124974,8215,,66,Pompeii,I,8,17,Casa dei Quattro Stili,,,((:circulus)),,,
EDR124976,8215,,58,Pompeii,I,8,7,Casa dei Quattro Stili,,,((:equus ad sin. incedens)),,,
EDR125002,8222,,498,Pompeii,I,8,7,Casa dei Quattro Stili,,,((:viri facies ad sin.)),,,
EDR128557,8185,,189,Pompeii,I,8,1,Taberna,,,"Mula fellaat [A]ntoni
Fortunata a(eris) a(ssibus) II
((:capus hominis))",,,
EDR128899,8191 (nota),,500,Pompeii,I,8,5,Casa della Statuetta Indiana,,,((:herma viri ad sin. conversus)),,,
EDR142564,8003,,2103,Pompeii,I,6,2,Casa del Criptoportico,,,((:navis oneraria cum nautis et tugerio)),((:cargo ship with sailors and deckhouse)),,
EDR142573,8020,,10,Pompeii,I,6,4,Casa del Sacello Iliaco,,,"Venustus 
((:nomen Venustus in forma navis scriptum))",((:name Venustus written in shape of boat)),,
EDR147517,---,,42,Pompeii,I,13,,,,,((:circulus circulos continens)),,,
EDR147856,8318,b,28,Pompeii,I,10,4,,,,"Montan(u)s
sum
v(ictoriarum)
X
((:gladiator))",,,
EDR147862,---,,46,Pompeii,I,13,,,,,((:labyrinthus circularis)),,,
EDR147878,---,,70,Pompeii,I,6,,,,,((:circulus florem continens)),,,
EDR147916,8161,,14,Pompeii,I,7,,,,,"Restitutus
((:nomen RESTITVTVS in forma navis scriptum))",,,
EDR147922,8030,,25,Pompeii,I,6,7,Fullonica di Stephanus,,,"Communem nu(mmum)
((:verba COMMUNEM NU(MMUM) in forma navis scripta))",,,
EDR147929,---,,81,Pompeii,I,6,,,,,((:circulus florem continens)),((:circle containing flower)),,
EDR147932,8383,,91,Pompeii,I,10,8,Casa di Minucius Fuscus,,,((:circulus triplex florem continens)),,,
EDR147974,---,,131,Pompeii,I,6,,,,,((:circuli circino tracti)),((:compass-drawn circles)),,
EDR148103,10038,c,23,Pompeii,I,11,6,Casa della Venere in Bikini,,,"Venite amantes
((:verba in forma navis scripta))",,,
EDR148379,8437,,151,Pompeii,I,11,,,,,"Quartio va(le)
((:labyrinthus))",((:labyrinth)),,
EDR148419,8383,,166,Pompeii,I,10,8,Casa di Minucius Fuscus,,,((:duo triangula)),((:two triangles)),,
EDR148731,8383,,1491,Pompeii,I,10,8,Casa di Minucius Fuscus,,,((:tres tauri ad sin. currentes)),((:three bulls running to left)),,
EDR148732,8383,,2452,Pompeii,I,10,8,Casa di Minucius Fuscus,,,((:folium)),((:leaf)),,
EDR148733,8383,,2453,Pompeii,I,10,8,Casa di Minucius Fuscus,,,((:folium)),((:leaf)),,
EDR148861,8182,,167,Pompeii,I,7,19,Casa dell' Efebo,,,((:quadratum)),((:rectangle)),,
EDR148862,8182,,496,Pompeii,I,7,19,Casa dell' Efebo,,,((:viri herma ad sin. conversus)),((:head and shoulders of a man facing left)),,
EDR148863,8182,,1754,Pompeii,I,7,19,Casa dell' Efebo,,,((:avis)),((:bird)),,
EDR148864,8182,,1755,Pompeii,I,7,19,Casa dell' Efebo,,,((:avis stans)),((:bird standing)),,
EDR148865,8182,,1756,Pompeii,I,7,19,Casa dell' Efebo,,,((:avis stans)),((:bird standing)),,
EDR149035,8382,,820,Pompeii,I,10,8,Casa di Minucius Fuscus,,,((:retiarius cum tridenti)),((:retiarius with trident)),,
EDR149038,8385,,333,Pompeii,I,10,8,Casa di Minucius Fuscus,,,((:viri facies barbata ad sin.)),((:bearded face of man facing left)),,
EDR149039,8385,,1704,Pompeii,I,10,8,Casa di Minucius Fuscus,,,((:gallus ad sin. rostro cibum carpens)),"((:rooster facing left, pecking food with his beak))",,
EDR149043,9397,,,Pompeii,I,10,8,Casa di Minucius Fuscus,,,"abiat IIIIIII
koueti ((:corona?))",,,
