EDR#,CIL#,Varone #,Langner #,Regio.Insula.Door ,Text of Inscription ,Caption for graffito,Translation,Commentary ,AGP = Update of CIL?,Contributors,,,,,,,,,,,
I.8,,,,Arabic numerals,,,,,,,,,,,,,,,,,
EDR128557,8185,,,,Mula fella<a>t.  [A]ntoni (?) / Fortunate a(eris) a(ssibus) (duobus).,Graffito with a price,Mula performs fellatio(?)  Antoni(us?).  Fortunata - 2 (bronze) asses (coins).,,,,,,,,,,,,,,
EDR128564,8186,,,,bono ut sit,Graffito,May it be (for) a good [man]?,,,,,,,,,,,,,,
EDR128581,8187,,,,A(ssibus) VIII Stabuli,Graffito with a price,8 asses (coins) for use of stables.,,,,,,,,,,,,,,
EDR128543,8188,,,,alica p(ondo) iiiii,Graffito about foodstuff,Spelt. 5 pounds,,,,,,,,,,,,,,
EDR128562,8189,,,,IIIIII IIIIIIIIIIIIIIIIII IIIIIIIIIIIIIII IIIIIIII / IIIIIIIIIIIIIIII IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,Tally marks,"6, 18, 15, 8 // 16, 36",,,,,,,,,,,,,,
EDR128553,8190,,,,C t C F / CC,A series of symbols,(Unknown),,,,,,,,,,,,,,
EDR128560,8191,,,,Daphnus / Felix / Agele / Attice,A llst of names,"Daphnus, Felix, Agele, Attice",,,,,,,,,,,,,,
EDR128545,8192,,,,Hinc hinc p(edibus) XII (de)t(ractis) VII V,A subtraction problem,From this from this 12 feet with 7 having been taking away (is) 5,,,,,,,,,,,,,,
EDR128749,8193,,,, D D D / D D D,A series of symbols,?,,,,,,,,,,,,,,
EDR128739,,,,,Ascula,Graffito with a name,Ascula,,,,,,,,,,,,,,
EDR128740,,,,,Pascela ?,Graffito with a name,Pascela (?),,,,,,,,,,,,,,
EDR128752,8195,,,,IIIIIIIIIII IIII,Tally marks,"11, 4",,,,,,,,,,,,,,
EDR128753,8196,,,,Quisquis in catedra (:cathedra?),Beginning of poetic graffito?,Whoever (will sit) in the chair...,,,,,,,,,,,,,,
EDR128755,8197,,,,Spe(s?) a(ssibus...?),A name?,Spes asses?,,,,,,,,,,,,,,
EDR128544,8198,,,,IIIIIIIIIIIIIII IIIIIIIIIIIIIII,Tally marks,"15, 15",,,,,,,,,,,,,,
EDR128546,8199,,,,IIIIIIIIIIII IIIIIIIIIIIIIII IIIIIIIIIIIIII IIII,Tally marks,"12, 15, 14, 4",,,,,,,,,,,,,,
EDR128555,8200,,,,XXIIIIIII VIIII VIII VII IIII IIIIII IIIIII IIIIIIII IIIIIIII X IIIIIIII IIIIIIII IIIIII IIIIII XXIIIIIIIIII XVII IIIIIIIIIIIII XXXXX X IIIIIII III IIIII XXXXX,Tally marks: account records,"27, 9, 8, 7, 4, 6, 6, 8, 8, 10, 8, 8, 6, 6, 30, 17, 13, 50, 10, 7, 3, 5, 50",,,,,,,,,,,,,,
EDR128547,,,,,XII,Tally marks,12,,,,,,,,,,,,,,
EDR128548,,,,,IIIIIIIIIII,Tally marks,11,,,,,,,,,,,,,,
EDR128551,,,,,VII,Tally marks,7,,,,,,,,,,,,,,
EDR128554,,,,,IIIIII,Tally marks,6,,,,,,,,,,,,,,
EDR128561,,,,,IIIIIIIII,Tally marks,9,,,,,,,,,,,,,,
EDR128565,,,,,IIIIIIIIII,Tally marks,10,,,,,,,,,,,,,,
EDR128566,,,,,S ,Tally marks (part of),1/2,,,,,,,,,,,,,,
EDR128567,,,,,?IIII,Tally marks,?4,,,,,,,,,,,,,,
EDR128647,,,,,XIIII,Tally marks,14,,,,,,,,,,,,,,
EDR128648,,,,,IIIIII,Tally marks,6,,,,,,,,,,,,,,
EDR128649,,,,,IIII,Tally marks,4,,,,,,,,,,,,,,
EDR128650,,,,,X,Tally marks,10,,,,,,,,,,,,,,
EDR128559,8203,,,, Idibus Iulis inaures postas ad Faustilla(m). Pro (denarius) II usura(m) deduxit aeris a(ssem). Ex sum(ma?) xxx,Details of a loan,"On the Ides of July earrings were deposited with Faustilla (as collateral). For two denarii she is charging one copper as (per month, as interest). From a total? 30.",,,,,,,,,,,,,,
