Term,Part of Speech
ab,preposition
absisto,verb
acanthus,noun
acceptatio,noun
acetabulum,noun
acute,adjective
acutus,verb
ad,preposition
adaugeo,verb
adiectus,adjective
admiror,verb
adsuetus,adjective
adsulto,verb
aedes,noun
aedificium,noun
aedilis,noun
aedituus,noun
aegrotare,verb
aemilius,adjective
aeneus,adjective
aequatus,verb
aequor,verb
ager,noun
agna,noun
ago,verb
ait,verb
aiunt,verb
algeo,verb
alia,adjective
alica,noun
aliquis,adjective
alius,adjective
alter,adjective
altero,adjective
amabiliter,preposition
amans,adjective
amanter,preposition
amare,verb
amator,verb
amatus,adjective
ami,noun
amicus,adjective
amitto,verb
amo,verb
amor,noun
Ampelos,noun
ampliatus,adjective
amplio,verb
anaticula,noun
ancilla,noun
andes,noun
androgynes,noun
anicetum,adjective
anicetus,adjective
animal,adjective
animalis,noun
animus,noun
anser,noun
ante,preposition
anterior,adjective
anthus,noun
antonius,adjective
anus,adjective
apex,noun
aplustre,noun
apriculus,noun
aptus,verb
aqua,noun
aquarium,noun
arbor,noun
arma,verb
armatus,adjective
armo,verb
aro,noun
artus,preposition
asella,noun
asinus,noun
assero,verb
assiccare,verb
assis,noun
asso,verb
assus,adjective
astragalus,noun
astus,noun
atauus,noun
atellanus,adjective
atinas,adjective
attineo,verb
auctus,adjective
aueo,verb
augeo,verb
augustalis,adjective
augusto,adjective
augustus,adjective
aulos,noun
auos,noun
aurelius,adjective
auus,noun
baculum,noun
balbus,adjective
barbatus,noun
basis,adjective
bellicus,adjective
bellus,adjective
bene,adjective
bibo,noun
bino,adjective
bis,adjective
bolus,noun
bonum,noun
bonus,adjective
bracchium,noun
breuis,noun
burrus,adjective
caco,noun
cadium,noun
cado,verb
caduceum,noun
caelator,noun
caelo,noun
caerulus,noun
caesareus,adjective
caesius,adjective
caesum,noun
caio,verb
Caius,noun
calidus,adjective
calo,noun
calos,preposition
camella,noun
camelus,noun
campanus,adjective
canaba,noun
candelabrum,noun
canes,verb
canus,adjective
capella,noun
capio,noun
capito,noun
capitum,noun
capud,noun
caput,noun
carina,adjective
carmen,noun
caro,preposition
carpo,verb
carus,adjective
caseum,noun
castor,noun
castrens,noun
castrum,noun
castus,adjective
casula,noun
cauda,noun
caueo,verb
cauo,noun
caupo,noun
causo,noun
cento,noun
centum,adjective
centuria,verb
centurio,noun
cerealis,adjective
cerrinus,adjective
certamen,noun
ceruos,noun
ceruus,noun
chorea,noun
chreston,noun
ciconia,adjective
cinaedus,adjective
circius,noun
circlus,noun
circos,noun
circulo,noun
circulum,noun
circulus,noun
citus,verb
claudus,adjective
clauus,noun
clipeus,noun
clodus,adjective
cohors,noun
colonus,adjective
columna,noun
comicus,adjective
commeatus,verb
commiseresco,verb
commiseret,verb
commune,preposition
communis,verb
como,verb
comperendino,verb
compos,adjective
concessus,adjective
conclaue,noun
concordis,adjective
condisco,verb
condo,verb
confirmo,verb
confringo,verb
conglacio,verb
coniunx,adjective
considerate,verb
consisto,verb
consul,noun
consulo,verb
consum,verb
contemno,verb
conticisco,verb
conticuum,noun
continens,adjective
contra,preposition
conuenio,verb
conuersus,verb
conuerto,verb
cor,noun
cordus,adjective
cornu,noun
cornutus,adjective
corona,verb
corpus,noun
cosmos,noun
costa,noun
coum,noun
cresco,verb
cresso,verb
crista,noun
cristatus,adjective
crux,noun
cubicularius,noun
cubiculum,noun
cuius,adjective
cum,preposition
cunctus,adjective
cuneus,noun
cunnus,noun
cupidus,adjective
cupio,verb
curator,verb
curiatus,adjective
curiosus,adjective
curo,verb
currens,verb
curuum,adjective
curuus,adjective
cylon,noun
datio,noun
de,preposition
dea,noun
debeo,verb
debilito,verb
debitum,verb
decimus,noun
decus,noun
deduco,adjective
deiero,verb
deliciae,noun
delineo,verb
denarius,adjective
dens,noun
detraho,verb
dextrum,noun
dignum,noun
dimico,verb
dinus,adjective
directus,adjective
dissertio,noun
diu,preposition
diuerto,verb
doceo,verb
dolo,verb
domi,preposition
domina,noun
domino,noun
domus,noun
dorcas,noun
dosis,noun
dromedarius,noun
duouir,noun
duplex,adjective
duplico,preposition
ea,preposition
elephantus,noun
eleusinus,adjective
emo,verb
emptus,adjective
eo,verb
epaphroditus,noun
eques,noun
equio,verb
equito,verb
equus,noun
er,noun
erectus,verb
erga,preposition
eroticus,adjective
erro,noun
eu,preposition
euenos,noun
ex,preposition
exemptus,adjective
exigo,verb
extergo,verb
externus,adjective
exto,verb
extremus,noun
facia,noun
facies,verb
facilis,adjective
facio,verb
falx,noun
familia,noun
fascinum,noun
fascis,noun
fatuus,adjective
faustus,adjective
Faustus,noun
februarius,adjective
felicito,verb
feliculus,adjective
felis,noun
felix,noun
fellatrix,noun
fello,verb
femina,verb
fero,verb
ferrea,noun
ferreus,adjective
fidenter,preposition
figura,noun
figuro,verb
filia,noun
filius,noun
fio,verb
firmus,adjective
flamma,noun
flauus,adjective
florus,adjective
flos,noun
foliatus,adjective
folium,noun
formo,adjective
formonsus,adjective
formus,adjective
foro,verb
fortasse,preposition
fortis,adjective
fortunatus,verb
fortuno,adjective
forum,noun
frango,verb
frater,noun
frons,noun
fronto,noun
fugiens,adjective
fundito,verb
fuscina,noun
fustis,noun
futuo,verb
futurus,adjective
fututor,noun
fututus,verb
galea,noun
galeatus,adjective
galeo,verb
galeos,noun
gallus,adjective
gemmarius,adjective
gemmo,verb
genialis,adjective
genius,noun
germanus,adjective
gero,verb
glaber,noun
gladiator,noun
gladiatorius,adjective
gladium,noun
gladius,noun
glaucus,noun
gloria,noun
gryllus,noun
gubernaculum,noun
habeo,verb
habito,verb
hac,preposition
hamo,verb
hamula,noun
hasta,noun
haueo,verb
hedera,noun
helenium,noun
herus,noun
hic,preposition
hilare,adjective
hilarus,adjective
hinc,preposition
hoc,preposition
homo,noun
honorificus,adjective
hoplomachus,noun
hortus,noun
huc,preposition
humatio,noun
hymnus,noun
iaculor,verb
ianua,noun
ibi,preposition
ignis,noun
ilia,noun
ille,adjective
imago,noun
imperator,verb
impono,verb
in,preposition
inaures,noun
incalo,verb
incedo,verb
incendium,noun
incendo,verb
induo,verb
indutus,noun
infelix,adjective
infreno,verb
ingens,adjective
ingenuus,adjective
inops,adjective
instructus,verb
instrumentum,noun
instruo,verb
inter,preposition
interrogo,verb
interscindo,verb
interseco,verb
intersectus,adjective
inuicto,adjective
inuidiosus,adjective
ion,noun
ipse,adjective
ipsimus,noun
irrumo,verb
issus,adjective
istuc,preposition
iterum,preposition
iucundus,adjective
iudex,noun
iulis,noun
iulius,adjective
iunius,adjective
Iunius,noun
iuro,verb
ius,noun
iustus,noun
iuuenalia,adjective
iuuenis,adjective
iuuo,verb
labor,verb
labrum,noun
labyrinthum,noun
labyrinthus,noun
lacruma,noun
lagoena,noun
lanterna,noun
laqueum,noun
lardum,noun
largifico,adjective
legio,noun
lego,verb
lentulus,adjective
leo,noun
lepis,noun
liberalis,adjective
liberto,verb
libertus,preposition
librarium,noun
liceo,verb
licinus,adjective
ligo,noun
linea,noun
lineola,noun
lineus,adjective
lingo,verb
linum,noun
loco,noun
locum,noun
locus,noun
lodix,noun
longiusculus,adjective
longus,adjective
lucanicus,adjective
lucerna,noun
lucidus,adjective
lucifugus,adjective
lucius,adjective
lucubratorius,adjective
luculentus,adjective
ludo,verb
lumbus,noun
lumen,noun
lusor,noun
luter,verb
luxum,adjective
magister,noun
magnificenter,preposition
magnum,preposition
magnus,adjective
maia,adjective
maior,noun
male,preposition
maledico,verb
malis,noun
malum,preposition
malus,noun
mammium,noun
mandatus,noun
mando,verb
mansit,verb
mansuesco,verb
mansuetus,adjective
manus,noun
marcus,noun
mare,adjective
marmoro,adjective
martes,noun
martialis,adjective
masculinus,adjective
mater,noun
matrona,noun
maximus,adjective
medicatus,adjective
medico,noun
memini,verb
memoris,adjective
mens,noun
mentula,noun
merces,noun
merco,verb
mercurius,noun
messio,noun
meus,adjective
miles,noun
mille,adjective
mimus,noun
minimum,preposition
minister,adjective
minus,preposition
miscellus,adjective
miser,noun
missus,adjective
mitificus,adjective
mitto,verb
mnester,noun
moderatus,adjective
modestus,adjective
modo,noun
modus,noun
molitor,noun
monitum,noun
montanus,noun
mores,verb
morior,adjective
mors,noun
mortuus,noun
mulier,noun
muliero,verb
multa,noun
multo,preposition
munus,noun
murmillo,noun
murus,noun
mus,noun
musa,noun
muscarius,adjective
musicus,adjective
mutito,verb
myrtus,noun
mystagogus,noun
mystes,noun
narcissus,noun
nasum,noun
nata,noun
natus,adjective
naue,preposition
nauicula,noun
nauis,adjective
nego,verb
nepotulus,noun
nequior,adjective
nescio,noun
ni,preposition
nico,verb
nigrum,noun
nixus,noun
no,verb
noctus,noun
nomen,noun
nomine,noun
nomino,verb
nona,noun
nonaginta,adjective
nonne,preposition
nonus,adjective
nosco,verb
noster,adjective
nothus,adjective
noto,noun
nouo,adjective
nox,preposition
num,preposition
numen,noun
numerius,adjective
numerus,noun
nummularius,adjective
nunc,preposition
nux,noun
ob,preposition
oblongus,adjective
oceanus,noun
ocrea,noun
octauus,adjective
octoginta,adjective
oculus,noun
ofella,noun
oleum,noun
olo,noun
omnia,adjective
omnis,noun
onerarius,noun
onos,noun
onustus,adjective
opera,verb
oppono,verb
optatum,preposition
opto,verb
opus,noun
orbiculus,noun
ordo,noun
ornamentum,noun
ornatus,adjective
oro,verb
os,noun
ouo,noun
paco,verb
paedico,verb
paenula,noun
paeonia,noun
paganum,noun
palliolum,noun
palma,noun
palum,noun
panis,noun
paries,verb
pario,verb
parma,noun
pars,noun
partiarius,adjective
participo,verb
paruum,noun
paruus,adjective
pastor,noun
pater,verb
pathicus,noun
paucus,adjective
pauper,adjective
pectus,noun
pedico,verb
pedicus,adjective
pedo,noun
pelios,adjective
peluis,noun
pera,noun
pereo,verb
persequor,verb
pertundo,verb
pes,noun
petasatus,adjective
petilus,adjective
petitum,noun
peto,verb
petronius,adjective
phallus,noun
phyllon,noun
pier,verb
pietas,noun
pileatus,verb
piscis,noun
pithias,noun
placidus,adjective
planus,noun
pleius,adjective
polus,noun
pondo,preposition
pono,verb
porcinus,adjective
porrum,noun
porta,noun
possum,verb
postquam,preposition
postridie,preposition
postulatum,verb
praebeo,verb
praeditus,adjective
praefectus,adjective
praesens,preposition
praeteritum,adjective
praetorianus,noun
prandeo,verb
prauus,adjective
pretium,noun
pridie,preposition
primigenius,adjective
primus,noun
priscus,adjective
prius,preposition
pro,preposition
procul,preposition
proculio,verb
proculus,adjective
procumbo,verb
procurator,verb
proiecticius,adjective
propero,adjective
propitio,adjective
prora,noun
prosequor,verb
prosper,adjective
prospicio,verb
prouidens,adjective
prouocator,verb
prurio,verb
psittacus,noun
publica,noun
pudor,noun
puella,noun
puellus,noun
puer,noun
pugilo,noun
pugno,noun
pupa,noun
quacumque,preposition
quadriiugus,noun
quadro,adjective
quadrupes,noun
quadruus,adjective
quaero,verb
quaestor,noun
quantum,preposition
quasi,preposition
quatio,verb
quattuor,adjective
quem,preposition
quicumque,adjective
quid,preposition
quidam,adjective
quin,preposition
quinque,adjective
quintus,preposition
quisquis,noun
quod,preposition
quor,preposition
quotus,adjective
quouis,preposition
ramus,verb
rarus,adjective
ratio,noun
reconduco,verb
reconligo,verb
recte,adjective
rectus,adjective
redeo,verb
redulcero,verb
regulo,verb
reiicio,verb
remus,verb
ren,noun
repexus,verb
restinguo,verb
restitutus,adjective
resupino,adjective
retiarius,noun
retis,verb
retrocedo,verb
rex,noun
riuales,noun
rogatum,adjective
rogo,noun
rostrum,noun
roto,verb
rotundus,adjective
rubus,noun
rudis,adjective
rudo,verb
rufus,adjective
ruina,noun
rumis,noun
rumpo,noun
russeus,adjective
rusticus,noun
sacculus,noun
sacoma,noun
sagatus,adjective
salarius,adjective
salueo,verb
saluia,noun
saluos,adjective
saluto,verb
sapio,verb
satisfacio,verb
sato,noun
satur,adjective
saturo,verb
saxum,noun
scaena,noun
scala,noun
scalae,noun
scarabeus,noun
scio,adjective
scite,verb
scius,adjective
scribo,verb
scriptio,noun
scripto,noun
scriptus,verb
scutum,noun
scyphus,noun
sector,verb
secundus,noun
securis,noun
secutor,noun
sella,noun
semis,noun
semper,preposition
senatus,noun
senex,adjective
sentus,adjective
septem,noun
septentrio,noun
sequor,verb
serum,noun
seruo,noun
seruos,adjective
seuerus,adjective
sex,adjective
sexto,preposition
sextus,adjective
sica,noun
sicula,noun
silo,adjective
siluester,adjective
simplex,adjective
simulatque,preposition
singula,noun
singulus,adjective
sinistra,adjective
sino,preposition
sinum,noun
siqua,preposition
sitio,verb
situs,verb
socius,preposition
sodalis,noun
sol,noun
soleo,verb
sollemne,adjective
sollemnis,adjective
solus,adjective
spectans,adjective
spes,noun
stabulum,noun
stamen,noun
stans,verb
statio,noun
status,adjective
stella,noun
stellio,noun
stercus,noun
sto,verb
stratus,adjective
strigilis,noun
sturnus,noun
suarium,adjective
suauis,adjective
sub,noun
subcrispus,adjective
subflauus,adjective
subligaculum,noun
successus,noun
succurro,verb
sum,verb
summus,adjective
sumo,verb
suo,verb
super,preposition
superbus,adjective
superior,adjective
supra,preposition
surus,noun
sus,noun
susceptum,adjective
sustineo,verb
sutor,noun
syntrophus,noun
syron,noun
tabulo,verb
taedio,noun
tango,verb
tantus,adjective
tarde,adjective
taurus,noun
tempus,noun
teneo,verb
tener,adjective
tenere,preposition
tertianus,adjective
testificor,verb
textor,noun
thorax,noun
thymele,noun
tiburtinus,adjective
tius,noun
togatus,adjective
