term_id,term
2,nauis
3,cum
4,remus
5,ursus
6,urbanus
7,πiiii
8,dosis
9,assa
10,macer
14,caput
15,homo
16,ad
17,sinum
18,conuerto
20,herma
21,uir
22,conuersus
23,pascela
26,helpis
28,uirus
29,ceruus
30,equito
33,stans
35,gladiator
36,gladium
37,et
38,scutum
39,longiusculus
40,armo
41,calos
44,scaena
45,eroticus
46,cresso
48,θ
50,λιβερᾶλις
51,aedituus
52,mercurius
53,ego
54,anicetus
55,uale
57,apriculus
58,ren
59,hic
60,corvenius
62,petasatus
63,alter
64,baculum
65,teneo
66,mercurius
67,animalis
68,taurus
69,eos
70,prosequor
71,duae
72,figura
73,procul
75,ἑρμίας
78,cosmos
80,oppi
82,plataco
83,turuda
84,aptus
87,stheneli
88,menedemerumenus
90,felix
91,aegle
93,assis
94,stabulum
95,herus
96,spleia
97,decus
98,iustus
99,felicito
101,savfei
104,phallus
105,d
107,tropaion
108,manilius
110,equus
112,male
113,uolo
114,gubernaculum
116,quadrupes
118,uector
121,turris
123,uarius
124,lineus
125,directus
126,curuus
127,uela
129,instructus
130,futuo
133,uasa
135,duo
136,pugno
138,caesum
139,locus
140,sum
141,rufinae
143,euma
144,l
145,ʾ
147,bn
148,gs²m
150,pedico
152,succedo
153,accipe
154,mars
155,uecors
156,secundus
157,primus
158,anatolii
159,quin
162,facies
163,alica
164,pondo
165,cui
166,mihi
167,doceo
168,deiero
169,merces
170,habeo
171,quod
172,petitum
173,ab
174,super
176,puella
177,nihil
178,vettius
179,spes
180,uerum
181,et
182,anedia
183,σωσᾶς
184,nonaginta
185,nouo
186,myrtale
187,ccassa
188,leontine
189,rusatia
190,κέλϲα
192,liberto
194,semis
195,((mille))
196,seuerus
197,quos
198,pompeiis
205,prospicio
206,sica
208,carina
210,quadro
211,linea
212,noto
213,ovius
215,pileatus
217,circulum
218,unus
219,continens
220,tbt
223,μεζηθικλλι
225,stellio
229,δεζη
231,circulus
232,flos
234,incedo
237,maloque
241,cinaedus
242,l̅v̅
243,cuproniusepol
245,in
246,caelo
247,martes
248,equito
251,ìn
252,curiatus
253,augustiana
255,cylon
259,((denarius))
260,mulierarianus
261,hus
262,aulos
264,clemen
266,surus
