"EDR092812","Textus secundum (1)<br>in minuti caratteri (1)"
"EDR072274","Textus secundum (1)-(3), periit (5).<br>Littera E ut II scripta est.<br>Due litterae T altior aliis litteris sunt; prima littera T altissima est.<br>Idem nomen iterum in eadem domu inventum est (EDR177787).<br>Nonnulli tituli in hac domu inscripti sunt (EDR177787-EDR177792)."
"EDR072282",
"EDR072296","Textus secundum (3), periit (4)<br>v. 1: litterae CR scriptae sed tum cancellatae."
"EDR072421","Textus secundum (1)-(3), mensurae secundum (3).<br>Dictator Sulla in nonnullis titulis Pompeianis notus est (e.g. EDR072601)."
"EDR071661","Textus secundum (2)"
"EDR071662","Textus secundum (1)"
"EDR071722","Textus secundum (2)(4).<br>v. 1: Hi socii conductores vicesimae libertatis sunt, i.e. vectigal manumissionis colligunt. (4)(6) <br>v. 2: NONIS pro NOVIS scriptum est."
"EDR071808","Textus secundum (1)"
"EDR071917","Textus secundum (3).<br>v. 1: medium verbum haud certe est.<br>v. 1: [Pomp]EIANIS HAVE FELICITER (1)(2)"
"EDR071918","Textus secundum (3)<br>v. 2: IUDICIO aut INDICIO? (3)<br>v. 2: finis verbi SEMPER numquam scriptum est<br>v. 4: alia manu scriptus est<br>Tantum versus 1 datur (1)-(2)<br>""ha tutta l'aria di un verso classico, ovidiano forse, o vergiliano"" (1)<br><br>vv.2-4: lecti sunt ut disiuncti tituli apud (1)<br>v. 2: [de]LICIOSIUM (?) (1); v. 4: PANA (1)"
"EDR179444","Textus et mensurae secundum (1). <br>Littera E ut II scripta est."
"EDR072254",
"EDR072555",
"EDR072568","Textus secundum (1)<br>Littera E ut II scripta est.<br>v.1: Quintium pro Quintianum, scil. fundum (1)"
"EDR072601",
"EDR072651",
"EDR072663","Textus secundum (2), periit (10).<br>Variatio versus Verg. Aen. I.1, qui etiam in parietibus Pompeis inscriptus est (cfr. EDR175604, EDR125686).<br>Alii tituli de fullonibus in hac pariete inscripti sunt (cf. CIL 04, 09128-09129)."
"EDR072673",
"EDR072680",
"EDR072681",
"EDR072682",
"EDR072779",
"EDR073093",
"EDR073160",
"EDR073161",
"EDR073218",
"EDR073219",
"EDR073222",
"EDR073223",
"EDR073288",
"EDR073314","Textus secundum (7), aliter (1)-(4)<br>v. 1 litteris tenuibus scriptus, v. 2 litteris tenuissimis scriptus (6)<br>v. 2 omittitur (1)<br>v. 2: amicus est Holconi (2)-(4)<br>Mazgaba (vel Masgaba) nomen Punicum est (1), berberischer Name (7).<br>Pyrrhicus etiam in CIL IV 1920 nominatur."
"EDR073325",
"EDR073335",
"EDR073337",
"EDR073338",
"EDR073343",
"EDR073414",
"EDR073610","Textus secundum (2), mensurae secundum (1).<br>""In tegulae fragmento fulguris conditi locum ostendente scalpro incisus"" (1)"
"EDR073638","Textus secundum (13).  Contulerunt Benefiel et Sypniewski (AGP) a. 2019.<br>Tectorium huius tituli excisum est et in repositis translatum est. Nunc evanidum est (22).<br>Pars I: littera S maior omnibus aliis litteris, et &#916;(?) leviter incisa est.  Utrum hi versus ad quinque versus infra pertineant dubitatur.<br>Pars II: unus de notissimis titulis Pompeianis. Saepe testimonium christianorum esse creditur, sed unum exemplum de multis ludis quadratis verborum (18),(21). Cf. CIL 04, 08297.<br>Pars II, v. 4: multi quid AREPO significet explicare conati sunt, e.g. verbum celticum (11), sententia in litteris singulis condita: A R(erum) E(xtremarum) P(rincipio) O(mni) (6). <br>Pars III: etiam L M O legi potest (23) et levius ceteris, ut videtur in imagine apud (22). Utrum hic versus ad quinque versus supra pertineat dubitatur.<br>Supra EDR127824 (SAVTRAN VALE). Idem nomen in stria 10 invenitur (EDR127823, SAVTRAN VA).<br>In eadem columna  EDR127816, EDR127817, EDR127818 (stria 5); EDR127819 (stria 6); EDR127820 (stria 6-10); EDR127821 (stria 6-7), EDR127822 (stria 7); EDR127823 (stria 10);  EDR167589 (stria 13); EDR127826, EDR127827 (stria 14); EDR127140, EDR127231, EDR127233, EDR127234 (stria 15); EDR167628 (stria 16-17)"
