"EDR092812","Vicimus"
"EDR072274","C(aius) Vettius Firmus"
"EDR072282","Roma"
"EDR072296","Aedilem Proculam (:Proculum) &#12314;CR&#12315; cunctorum turba probavit. Hoc pudor ingenuus postulat et pietas"
"EDR072421","L(ucius) Sulla Corn&#770;elius"
"EDR071661","Barbara barbaribus barbarant barbara barbis"
"EDR071662","Nerone Caesare Augusto<br>Cosso Lentulo Cossi fil(io) co(n)s(ulibus)<br>VIII Idus Febr(u)arias<br>dies Solis luna XIIIIX nun(dinae) Cumis V (Idus Februarias) nun(dinae) Pompeis"
"EDR071722","Socis (:sociis) vicesumaris (:vicesimariis)<br>nonis (:novis) et veteribus"
"EDR071808","M(arcus) Lucretius Fronto vir fortis<br>&#12314;et hon&#803;[estus?]&#12315;"
"EDR071917","Pompeianis - Aug(ustis) feliciter"
"EDR071918","Haec fuerat quaesita dies innoxia famae<br>i[-]dicio sem<br>&#12296;:vacat&#12297;<br>&#12296;:vacat&#12297; pauca"
"EDR179444","Maxxime (:Maxime)"
"EDR072254","IX K(alendas) Iunias Inperator(is)(!)<BR>dies fuit Solis"
"EDR072555","Priscus caelator<BR>Campano<BR>gemmario<BR>fel(iciter)"
"EDR072568","L(ucius) Calventi(us) I<br>atQuintium (:ad Quintium)<br>colet (:colit) et abet (:habet)<br>violarium<br>ide (:vide) locum."
"EDR072601","Sul(l)a [---] Felix"
"EDR072651","Prid(ie) Nonis<BR>Iulis tunica<BR>HS XV"
"EDR072663","Fullones ul&#803;ulamque cano non arma virumq(ue)"
"EDR072673","Lares sanctos<BR>rogo t[e] ut [---]"
"EDR072680","Oceanus l(ibertus) XVIII v(icit) //<BR>Arancitus l(ibertus) [---]IIII"
"EDR072681","stiario(?)"
"EDR072682","Severus l(ibertus) XIII<BR>Albanus Sc(---) l(ibertus) XIX v(icit)"
"EDR072779","Arma virumque [cano]"
"EDR073093","Dies<BR>Sat(urni)<BR>Sol(is)<BR>Lun(ae)<BR>Mar(tis)<BR>Merc(urii)<BR>Iov(is)<BR>Ven(eris) //<BR>Nundinae<BR>Pompeis<BR>Nuceria<BR>Atella<BR>Nola<BR>Cumis<BR>Putiolos(!)<BR>Roma<BR>Capua //<BR>X[VIIII]<BR>X[VIII]<BR>X[VII]<BR>XV[I]<BR>XV<BR>XIV<BR>XIII<BR>X[II]<BR>XI<BR>X<BR>VIIII //<BR>VIII<BR>VII<BR>VI<BR>I[---]<BR>II<BR>pr(idie)<BR>K(alendae)<BR>Nov(embres)<BR>=<BR><BR>=<BR>IV //<BR>Non(ae)<BR>VIIII<BR>VIII<BR>VII<BR>VI<BR>V<BR>IV<BR>III<BR>pri(die)<BR>Idus //<BR>I<BR>II<BR>III<BR>IV<BR>V<BR>VI<BR>VII<BR>VIII<BR>VIIII<BR>X<BR>XI<BR>XII<BR>XIII<BR>XIV //<BR>XV<BR>XVI<BR>XVII<BR>XVIII<BR>XVIIII<BR>XX<BR>XXI<BR>XXII<BR>XXIII<BR>XXIIII<BR>XXV<BR>XXVI<BR>XXVII<BR>XXVIII //<BR>XXVIIII<BR>XXX"
"EDR073160","Nonis Neronis sal(utem)"
"EDR073161","Ol(ympica) III K(alendas)<BR>Ner(onias)"
"EDR073218","Neratius<BR>Pansa<BR>Cleopatra"
"EDR073219","Nucerea(e)(!) quaeres ad porta(m) Romana(m)<BR>in vico Venerio Novelliam<BR>Primigeniam"
"EDR073222","C(aius) Anneus (:Annaeus)<br>Capito<br>eq(ues) coh(ortis) X&#773; pr(aetoriae)<br>((centuria)) Grati"
"EDR073223","Amantes ut apes vita(m) mellita(m) xexigunt(!)"
