City,Insula,Main Entrance,Secondary entrances,AGP Name,AGP English Name,AGP Italian Name,AGP Category,Attested CIL 
Pompeii,I.1,1,"1a, 10",Taberna,,Taberna,Tavern,
Pompeii,I.1,2,,,,,Tavern,
Pompeii,I.1,3,"4,5",,,,"Workshop, Stables",
Pompeii,I.1,8,"6,7",Hospitium Hermetis,,Hospitium Hermetis,Inn,
Pompeii,I.1,9,,,,,Tavern,
Pompeii,I.2,1,"30,31,32",,,,Tavern,
Pompeii,I.2,3,"2,4",,,,House,
Pompeii,I.2,4,,,,,Shop,
Pompeii,I.2,5,,,,,Shop,
Pompeii,I.2,6,,(Unnamed),,(Unnamed),House,
Pompeii,I.2,7,8,Taberna C. Hostilii,,Taberna C. Hostilii,Tavern,
Pompeii,I.2,9,,,,,Shop,
Pompeii,I.2,10,11,Domus Volusii Fausti,,Domus Volusii Fausti,House,
Pompeii,I.2,13,"12,14",Taberna,,Taberna,"Tavern, Shop",
Pompeii,I.2,15,,(Unnamed),,(Unnamed),House,
Pompeii,I.2,16,,(Unnamed),,(Unnamed),House,
Pompeii,I.2,17,"connected to 18,19",(Unnamed),,(Unnamed),House,
Pompeii,I.2,21,20,Caupona,,Caupona,Tavern,
Pompeii,I.2,22,,Caupona,,Caupona,Shop,
Pompeii,I.2,23,,Taberna,,Taberna,Tavern,
Pompeii,I.2,24,"25,26",Caupona,,Caupona,Other,
Pompeii,I.2,28,"27,29",Casa della Grata metallica,,Casa della Grata metallica,House,
Pompeii,I.3,1,,,,,"Workshop, Bakery",
Pompeii,I.3,2,,,,,Shop,
Pompeii,I.3,3,"4,31",(Unnamed),,(Unnamed),House,
Pompeii,I.3,6,5,,,,Workshop,
Pompeii,I.3,7,,,,,Shop,
Pompeii,I.3,8,,(Unnamed),,(Unnamed),House,
Pompeii,I.3,9,10,,,,Workshop,
Pompeii,I.3,11,,,,,Shop,
Pompeii,I.3,12,,,,,Shop,
Pompeii,I.3,13,14,,,,Workshop,
Pompeii,I.3,15,,,,,Workshop,
Pompeii,I.3,16,"18,19",,,,Workshop,
Pompeii,I.3,17,,Stairs to upper level,,,,
Pompeii,I.3,20,"21,22",,,,Restaurant?,
Pompeii,I.3,23,,Casa della Rissa nell' Anfiteatro,,Casa della Rissa nell' Anfiteatro,House,
Pompeii,I.3,24,,(Unnamed),,(Unnamed),House,
Pompeii,I.3,25,26,(Unnamed),,(Unnamed),House,
Pompeii,I.3,27,,,,,"Workshop, Bakery",
Pompeii,I.3,28,,,,,Tavern,
Pompeii,I.3,29,,(Unnamed),,(Unnamed),House,
Pompeii,I.3,30,,(Unnamed),,(Unnamed),House,
Pompeii,I.3,31,,,,,Shop,
Pompeii,I.4,2,"1,3",,,,House,
Pompeii,I.4,4,,,,,Shop,
Pompeii,I.4,5,"25,28",Casa del Citarista,,Casa del Citarista,House,
Pompeii,I.4,6,,,,,Shop,
Pompeii,I.4,7,,,,,Workshop,
Pompeii,I.4,8,,,,,Shop,
Pompeii,I.4,9,,(Unnamed),,(Unnamed),House,
Pompeii,I.4,10,,,,,Shop,
Pompeii,I.4,11,,,,,Tavern,
Pompeii,I.4,12,"13,14,15,16,17",,,,"Workshop, Bakery",
Pompeii,I.4,18,,,,,Workshop,
Pompeii,I.4,19,,,,,Shop,
Pompeii,I.4,20,21,,,,Shop,
Pompeii,I.4,22,"23,24",(Unnamed),,(Unnamed),House,
Pompeii,I.4,26,,,,,Workshop,
Pompeii,I.4,27,,,,,Tavern,
Pompeii,I.5,1,,,,,Shop,
Pompeii,I.5,2,,Conceria,,Conceria,Workshop,
Pompeii,I.5,3,,,,,Workshop,
Pompeii,I.6,1,,,,,Workshop,
Pompeii,I.6,2,16,Casa del Criptoportico e Casa del Sacello Iliaco,,Casa del Criptoportico e Casa del Sacello Iliaco,House,
Pompeii,I.6,3,,Bottega di ferramenta,,Bottega di ferramenta,Workshop,
Pompeii,I.6,4,,Casa del Sacello Iliaco,,Casa del Sacello Iliaco,House,
Pompeii,I.6,6,5,(Unnamed),,(Unnamed),Shop,
Pompeii,I.6,7,,Fullonica di Stephanus,,Fullonica di Stephanus,"Workshop, Fullonica",
