Input, processed, lemma

Aviani auiani auianius
Aviani auiani auianus
Flavia flauia flauia
Flavia flauia flauius
Laviniam lauiniam lauinia
Valentina ualentina ualentinum
Valentina ualentina ualentini
Valerio ualerio ualerius
Veneriam ueneriam ueneria
Verginiam uerginiam uerginius
Vettius uettius uettius
Vettius uettius uettius
Vinicius uinicius uinicius
Vitalio uitalio uitalio
Ave aue aueo
Ave aue aueo
Ave aue auis
Ave aue auus/-os
Ave aue a
cacavit cacauit caco
Caves caues caueo
Caves caues cauo
conclave conclaue conclaue
conclave conclaue conchula
naviculae nauiculae nauicula
ovas ouas ouo
Pelvis peluis peluis
persuavissime persuauissime persuauis
Quaesivi quaesiui quaero
Quaesivi quaesiui quaeso
Salvia saluia saluia
serva serua seruo
serva serua serua
serva serua seruus
servabo seruabo seruo
Vale uale ualeo
vale uale ualeo
vale uale ualeo
vale uale ualeo
Vale uale ualeo
veni ueni ueneo
veni ueni uenio
veni ueni uenio
veni ueni uenus
venimus uenimus ueneo
venimus uenimus uenio
venimus uenimus uenio
Venimus uenimus ueneo
Venimus uenimus uenio
Venimus uenimus uenio
Venus uenus uenus
Venus uenus uenus
Venus uenus uenus
vico uico uicus
vim uim uis
Vinum uinum uinum/-us
Vinum uinum uinum/-us
vis uis uis
vis uis uolo
vivant uiuant uiuo
vivere uiuere uiuo
vix uix uix
votum uotum uoueo
votum uotum uoueo
votum uotum uotum/-us
