Lasius,Lasius,unknown
Θ,Θ,unknown
Crusali,Crusal,unknown
Σαβίνιο,Σαβίνιο,unknown
μυσταγωγός,μυσταγωγός,unknown
Etoen,Etoen,unknown
ὁ,ὁ,unknown
Διογένης,Διογένης,unknown
φιλόσοφος,φιλόσοφος,unknown
κυνικὸς,κυνικός,unknown
γυναῖκα,γυνή,noun
ἰδὼν,εἶδον,participle
ποταμοῦ,ποταμός,noun
ὑπὸ,ὑπό,preposition
εἶπεν·,εἶπεν·,verb
φερομένην,φερομένην,unknown
ἄφες,ἀφίημι,verb
κακ⌜ὸ⌝ν,κακ⌜ὸ⌝ν,unknown
τὸ,ὁ,unknown
κακοῦ,κακός,adjective
innectebis,innectebis,unknown
Hectic,Hectic,unknown
broc,broc,unknown
Branc,Branc,unknown
men,ego,unknown
mul,mul,unknown
Mol,Mol,unknown
Antymo,Antymo,unknown
Silentiolus,Silentiolus,unknown
Κογιτάτουϲ,Κογιτάτουϲ,unknown
Urosacula,Urosacula,unknown
monit,monit,unknown
Hercolanius,Hercolanius,unknown
Vivanius,Vivanius,unknown
Timinia,Timinia,unknown
Kalends,Kalends,unknown
cima,cima,unknown
Phyl,Phyl,unknown
Vasileus,Vasileus,unknown
Coldenarius,Coldenarius,unknown
Icui,Icui,unknown
ευνυϲ,ευνυϲ,unknown
Ὀνέϲιμοϲ,Ὀνέϲιμοϲ,unknown
Βομβύκιον,Βομβύκιον,unknown
dua,dua,unknown
cotidianu,cotidianu,unknown
duos,duo,adjective
Scapheola,Scapheola,unknown
Haenas,Haenas,unknown
Fuminaria,Fuminaria,unknown
Στρατόνικος,Στρατόνικος,unknown
Antus,Antus,unknown
Tyaniano,Tyaniano,unknown
Ἄρτος,Ἄρτος,unknown
Stiriscus,Stiriscus,unknown
Procame,Procame,unknown
vol,vol,unknown
MOEƆCIA,MOEƆCIA,unknown
thymatula,thymatula,unknown
Septembres,September,unknown
Charca,Charca,unknown
