EDR154575,cinedus (:cinaedus)
EDR151898,Phlavia (:Flavia)
EDR151898,ligis (:lingis)
EDR152931,Cabinio (:Σαβίνιο)
EDR140254,Ηdibus (:Idibus)
EDR140254,Ianyaris (:Ianuarias)
EDR140036,senatu (:senatus)
EDR151863,Ostius (:Hostius)
EDR081346,Mamium(:Mammium)
EDR081346,guria(:curia)
EDR150399,votus (:votum)
EDR140206,Ocaeanus (:Oceanus)
EDR153355,malu (:malum)
EDR154190,Mortus (:Mortuus)
EDR154190,Sumpo(rus) (:Symphorus)
EDR154433,Suurus (:Syrus?)
EDR140980,ateque (:atque)
EDR156998,Mortus (:Mortuus)
EDR156998,Ercolanius (:Hercolanius)
EDR140062,eribus (:heribus)
EDR140213,Cums (:Cumis)
EDR140983,Amplianda (:Ampliandam)
EDR140983,Veneria (:Veneriam)
EDR140983,damna (:domina)
EDR140983,habias (:habeas)
EDR140983,introrgamus (:interrogamus)
EDR151822,Putelis (:Puteolis)
EDR140046,ono (:Colono)
EDR151818,x (:ex)
EDR154574,paeriit (:periit)
EDR151897,Bombycion (:Βομβύκιον)
EDR151868,manu (:manus)
EDR151868,Urciolos (:urceolos)
EDR151868,quatuor (:quattuor)
EDR151868,lytrum (:luterem)
EDR151868,quattor (:quattuor)
EDR140037,Febarias (:Februarias)
EDR159772,CΤΡΑΤΟΝΙΚΟC (:Στρατόνικος)
EDR159772,Stratonicos (:Stratonicus)
EDR140179,edituis (:aedituus)
EDR102191,numulario(:nummulario)
EDR081345,im(:in)
EDR154092,Qunei (:cunei)
EDR154566,Exemta (:exempta)
EDR154566,stecora (:stercora)
EDR140140,Vetius (:Vettius)
EDR157024,Mortus (:Mortuus)
EDR157024,Deii (:Deius)
EDR153613,Iulaiam (:Iuliam?)
EDR140205,Prigenio (:Primigenio?)
EDR154567,Quatuor (:quattuor)
EDR154186,bina (:binas)
EDR140233,Procamu (:Procame)
EDR154179,exigerunt (:exegerunt)
EDR140147,consitont (:consistunt)
EDR140147,Herculaneses (:Herculanenses)
EDR140147,navculae (:naviculae)
EDR140054,feliter (:feliciter)
EDR140232,viban (:vivant)
EDR153111,Fuibus (:Phoebus)
EDR153111,egrotes (:aegrotes)
EDR140138,pedad (:petat)
EDR140144,Masueta (:Mansueta)
EDR154177,Nuc (:nuces?)
EDR154177,Singa (:singula)
EDR154177,Orrellas (:ofellas)
EDR154177,Thymatla (:thymatula)
EDR154042,Herclan (:Herculaneo?)
EDR129306,Euodus(:Euhodus)
EDR154434,Iualias (:Iulias)
EDR154371,glabe (:glaber)
EDR154371,Lavinia (:Laviniam)
EDR140211,miam (:meam?)
EDR140211,Sira (:Syra?)
