EDR154589,ΑΒΓΔΕ
EDR151864,Romulus
EDR154563,Vale vale
EDR081348,Arrius Publi filius
EDR145936,Echio vale
EDR140257,XVII kalendas X kalendas VII idus
EDR154588,ΑΒΓΔΕΖΗΘΙΚΛΜ
EDR154595,ΑΒΓΔΕΖΗΘΙΚΛΜΝΞΟΠΡΣΤΥΦΧΨΩ
EDR154575,Lasius cinedus (:cinaedus)
EDR151898,Phlavia (:Flavia) Θ ligis (:lingis)
EDR081347,Publius Arrius Spaerus
EDR140061,[--- acce]pit Secundus Crusali ser(vus?) et Valentina ((:phallus))
EDR081349,In curia  Augustiana
EDR152931,Cabinio (:Σαβίνιο) S ((S retrogradum))
EDR154534,Echio · vale
EDR140834,ΚΛΗΒΙΧΝ
EDR154421,VII asses III
EDR140174,Vasa
EDR145941,va(le?) [---]rio [I?]sidoru IX ((:viri caput))
EDR140254,Ηdibus (:Idibus) Ianyaris (:Ianuarias) mystacogus (:mystagogus μυσταγωγός) docens GEBEUM et Etoen lucian+ VICIC
EDR140036,Ex senatu (:senatus) consulto VVCA [---]E ICA mansi solus
EDR140255,Sextus Porcius s s
EDR140198,Aniciae feliciter
EDR140192,Ara
EDR140171,Saturninae matri uncus assibus III
EDR140173,SPI Oceanus
EDR112869,Διογένης ὁ κυνικὸς φιλόσοφος ἰδὼν γυναῖκα ὑπὸ ποταμοῦ φερομένην εἶπεν· ἄφες φέρεσσθαι<span class=testo_nascosto>(:φέρεσθαι) τὸ κακ⌜ὸ⌝ν ὑπὸ κα`κοῦ´ ΚΙΥΣ
EDR144354,Θ Faustus Nothus Nothus ((:nomina FAVSTVS et NOTHVS scripta in forma trium navium NOTHVS bis))
EDR140224,[---]gius a Tertio S
EDR151892,Cosmus castus
EDR140219,[---]lius CINT <:vacat> genius suae sal(utem)  [---]CIN N AGIO GORC R
EDR140223,P P P redire   si minus   innectebis et te [---]
EDR140226,Secundus quo Hectic [+10+ plu]rimam salutem
EDR140131,Crocale barbata
EDR151863,C(aius) Ostius (:Hostius)
EDR154444,Omnes XXXI
EDR151865,REST ((:tres lineae aequae))
EDR151866,Onesimus
EDR140135,Hic amor sapiet
EDR140125,Quid
EDR081346,Mamium(:Mammium) Anicetum rogamus guria(:curia) Augustiana
EDR140039,<:columna I> Branc broc trans nus  <:columna II> Noster  tros  men   <:columna III> Quod quid quae quas  <:columna IV> Rum quis  que dem  <:columna V> Con  les lis  mul  <:columna VI> Mol ma me mae
EDR150399,L(uci) Aviani votus (:votum)
EDR140186,Φάβιος
EDR140200,Πρόκλα
EDR140206,Ocaeanus (:Oceanus) ω
EDR140168,Felices
EDR140141,Centurio centonem non habet  cen---
EDR140134,David
EDR140164,[---]N · LA
EDR140169,GENT[--]RR[---]
EDR140127,Balbus
EDR151876,PR XXX CV[+]XXX
EDR151877,Spedio Antymo [- - -] redibis e Pompeiano a Colono salutem  est augustalis
EDR140180,ΜΝΞΟΠΡϹΤΥΦΧΨΩ
EDR140172,A Epicurus  si es Utica
EDR151890,[- - -]cio salutem morieris Tomi Feliciter
EDR151901,[- - - d]ece[mbr- - -]
EDR140053,R Paris amas
EDR152964,Kalendas Augustas Nonas Aprilis Atinas
EDR140835,ΛΙΑΒΙΧΤΛ
EDR151899,[- - -]o [- - -]foro
EDR154569,Casium et tres sc[- - -]rios habes
EDR153355,Qui · se tutari · nescit · nescit · vivere Minimum · malu (:malum) · fit contemnendo · maximum
EDR153485,<:ad perpendiculum> Numini
EDR154533,Anicete Paris valete
EDR154571,TVS lusor
EDR154573,cinaede
EDR153742,Silentiolus ((:nomen SILENTIOLUS in forma navis scriptum))
EDR153743,Silentiolus ((:nomen SILENTIOLUS in forma navis scriptum))
EDR154500,Maior vale Maior vale OMCA VIII
EDR154185,Apelles cubicularius cum Dextro Caesaris pranderunt hic iucundissime et future simul
EDR154189,Euhodus
EDR154190,Mortus (:Mortuus) Sumpo(rus) (:Symphorus)
EDR140142,Κογιτάτουϲ S
EDR154423,S IIIIIIIIIIII XX
EDR154593,ΔΕΖΗ
EDR151874,((:circulus duplex)) IIIII XX XX X
EDR151886,Sacomata XX
EDR153850,S(emis) C Y ((mille)) S(emis) S(emis)
EDR151884,Ἑρμίας
EDR154373,Urso
EDR154433,Vitalio pedica ut comatus Urosacula Suurus (:Syrus?) Foliatus
EDR140980,Quam mita  vis  · Pastores ateque (:atque) · Caste monit erga pugiles
EDR154539,Vinicius Florus Paris Caius Messenius
EDR154540,Careius
EDR140987,Marcus
EDR140209,ΑΒΓΔΕΖΗΘ
EDR156980,Sabina Sabina
EDR156998,Mortus (:Mortuus) Ercolanius (:Hercolanius)
EDR151831,Quaesivi hic facias re[s s]erva omnes res tuas [- - -] quem nol[i - - -] nobi[s iun]ge neque servabo ne quis ius luminum salvum
EDR140217,ovas EVCL E VA M X P vectat
EDR140237,Vibidi
EDR154047,Cunei
EDR140978,Vivanius Ater ubique
EDR152963,XX IIIIIIIII
EDR140040,C C ego
EDR140062,eribus (:heribus) miscella
EDR140248,Caves Timinia Iures
EDR140213,Cereales sint Cums (:Cumis)
EDR140139,Salvia Superba
EDR156981,Kalends III Iulias
EDR159778,Misit <:vacat> iter(um?) agnas s o simplex cima nempius
EDR140188,VIII Kalendas Martias Numisii Genialis gladiatorum paria X Herculani
