Ikarus,Ikarus,UNKNOWN
Διόφαντοϲ,Διόφαντοϲ,UNKNOWN
Ἄδωνιϲ,Ἄδωνιϲ,UNKNOWN
Ἀρτεμῆϲ,Ἀρτεμῆϲ,UNKNOWN
Ἡλιόδωροϲ,Ἡλιόδωροϲ,UNKNOWN
Βαύδανοϲ,Βαύδανοϲ,UNKNOWN
Διογένηϲ,Διογένηϲ,UNKNOWN
Ἀπολλόδωροϲ,Ἀπολλόδωροϲ,UNKNOWN
Ἀπολλώνιοϲ,Ἀπολλώνιοϲ,UNKNOWN
ΔΙΟ,ΔΙΟ,UNKNOWN
μαιορεϲ,μαιορεϲ,UNKNOWN
Καλῶϲ,Καλῶϲ,UNKNOWN
πυγίζει,πυγίζει,UNKNOWN
Λυκρίων,Λυκρίων,UNKNOWN
κλεῖϲ,κλεῖϲ,UNKNOWN
ἡ,ὁ,pronoun
ἄρκλαϲ,ἄρκλαϲ,UNKNOWN
τῆϲ,τῆϲ,UNKNOWN
Μ,Μ,UNKNOWN
θεοδομητε,θεοδομητε,UNKNOWN
αἰθέριαι,αἰθέριος,UNKNOWN
ΑΠΑΤΡΑ,ΑΠΑΤΡΑ,UNKNOWN
πτέρυγεϲ,πτέρυγεϲ,UNKNOWN
turba,turba,noun
probavit,probo,UNKNOWN
καλός,καλός,adjective
Quartilla,Quartilla,UNKNOWN
Viriotal,Viriotal,UNKNOWN
Sedulatus,Sedulatus,UNKNOWN
Viriod,Viriod,UNKNOWN
Quartio,Quartio,UNKNOWN
ἐνθάδε,ἐνθάδε,adverb
Μουσαῖος,Μουσαῖος,UNKNOWN
βινεῖ,βινέω,UNKNOWN
Plotillae,Plotillae,UNKNOWN
dua,dua,UNKNOWN
equales,equal,UNKNOWN
Sarnensis,Sarnensis,UNKNOWN
Faustillam,Faustillam,UNKNOWN
Burrenio,Burrenio,UNKNOWN
Fulgur,Fulgur,UNKNOWN
conditum,condio,UNKNOWN
ψωλή,ψωλή,UNKNOWN
Antus,Antus,UNKNOWN
Ἥσυχος,Ἥσυχος,UNKNOWN
Eleusinae,Eleusina,UNKNOWN
Cuproniusepol,Cuproniusepol,UNKNOWN
ΜΕΖΗΘΙΚΛΛΙ,ΜΕΖΗΘΙΚΛΛΙ,UNKNOWN
Mulviu,Mulviu,UNKNOWN
Propesi,Propesi,UNKNOWN
cuntus,cuntus,UNKNOWN
Sacenio,Sacenio,UNKNOWN
Μελίβοιοϲ,Μελίβοιοϲ,UNKNOWN
Staphilus,Staphilus,UNKNOWN
Asbestus,Asbestus,UNKNOWN
Cossini,Cossinius,UNKNOWN
Haec,Haec,UNKNOWN
fuerat,sum,verb
innoxia,innoxius,UNKNOWN
famae,fama,noun
Pittacius,Pittacius,UNKNOWN
Euantillus,Euantillus,UNKNOWN
cineδu,cineδu,UNKNOWN
Voltini,Voltini,UNKNOWN
Fuficia,Fuficia,UNKNOWN
Rru,Rru,UNKNOWN
βινεῖς,βινεῖς,UNKNOWN
Κέλϲα,Κέλϲα,UNKNOWN
silig,silig,UNKNOWN
I̅I̅I̅,I̅I̅I̅,UNKNOWN
V̅V̅,V̅V̅,UNKNOWN
IIIsemis,IIIsemis,UNKNOWN
εAVG,εAVG,UNKNOWN
καλὸς,καλός,adjective
Συνέρως,Συνέρως,UNKNOWN
Sava,Sava,UNKNOWN
Ceacli,Ceacli,UNKNOWN
Secun,Secun,UNKNOWN
Scava,Scava,UNKNOWN
Iutto,Iutto,UNKNOWN
Nuelas,Nuelas,UNKNOWN
Barnaee,Barnaee,UNKNOWN
Novembres,November,UNKNOWN
Ἔρως,Ἔρως,UNKNOWN
Messalla,Messalla,UNKNOWN
VIΛIANIO,VIΛIANIO,UNKNOWN
Apsyrtus,Apsyrtus,UNKNOWN
Vervicius,Vervicius,UNKNOWN
Ɔ,Ɔ,UNKNOWN
Eucapa,Eucapa,UNKNOWN
Auctilius,Auctilius,UNKNOWN
Casellio,Casellio,UNKNOWN
Sacaba,Sacaba,UNKNOWN
Caramilus,Caramilus,UNKNOWN
Cassacos,Cassacos,UNKNOWN
Myrtale,Myrtal,UNKNOWN
Δεργιαχαι,Δεργιαχαι,UNKNOWN
Plataco,Plataco,UNKNOWN
Sabidia,Sabidia,UNKNOWN
Beliatus,Beliatus,UNKNOWN
geneis,geneis,UNKNOWN
ἐποίησε,ποιέω,UNKNOWN
Tiburtinus,Tiburtinus,UNKNOWN
Vidistiquo,Vidistiquo,UNKNOWN
Poppai,Poppai,UNKNOWN
Spartitundiolo,Spartitundiolo,UNKNOWN
binet,binet,UNKNOWN
scierunt,scio,UNKNOWN
Eumam,Eumam,UNKNOWN
Tiburtius,Tiburtius,UNKNOWN
ʾnʿm,ʾnʿm,UNKNOWN
bn,b,UNKNOWN
δὸς,δίδωμι,verb
