EDR151731,Apriculus
EDR128543,pondo
EDR128543,Alica
EDR128581,Assibus
EDR145436,calos
EDR148789,hoc
EDR148789,Anteros
EDR149247,Iulium
EDR145432,Ikarus
EDR149344,Vesbinus
EDR148677,Kalendas
EDR147141,Victor
EDR149404,Reus
EDR124983,Nicopolis
EDR128560,Felix
EDR128560,Daphnus
EDR151891,Iusto
EDR168154,l
EDR173488,rogo
EDR173488,Restituta
EDR166616,vale
EDR166616,Russa
EDR151912,Διόφαντοϲ
EDR151912,Ἄδωνιϲ
EDR151912,Ἀρτεμῆϲ
EDR151912,Ἡλιόδωροϲ
EDR151912,Βαύδανοϲ
EDR151912,Διογένηϲ
EDR151912,Ἀπολλόδωροϲ
EDR151912,Ἀπολλώνιοϲ
EDR151912,ΔΙΟ
EDR168647,quis
EDR168647,Nero
EDR149334,μαιορεϲ
EDR149334,Καλῶϲ
EDR149111,non
EDR167546,πυγίζει
EDR167546,Λυκρίων
EDR175754,κλεῖϲ
EDR175754,ἡ
EDR175754,ἄρκλαϲ
EDR175754,τῆϲ
EDR175754,ἡ
EDR168168,l
EDR180208,Mentula
EDR128557,fellat
EDR128557,Mula
EDR128557,Fortunata
EDR128557,Antoni
EDR128557,assibus
EDR128557,aeris
EDR175198,Μ
EDR175198,θεοδομητε
EDR175198,αἰθέριαι
EDR175198,ΑΠΑΤΡΑ
EDR175198,πτέρυγεϲ
EDR163606,Rusticus
EDR167537,et
EDR167537,Ceio
EDR167537,pupa
EDR167537,multis
EDR072296,Proculum
EDR072296,cunctorum
EDR072296,Hoc
EDR072296,turba probavit
EDR072296,ingenuus
EDR072296,pudor
EDR072296,et
EDR072296,postulat
EDR149405,feliciter
EDR149405,Pompeianis
EDR149405,Faustinum
EDR149405,feliciter
EDR149405,viginti
EDR175590,καλός
EDR175590,Sabine
EDR175590,te
EDR175590,Hermeros
EDR175590,amat
EDR175590,calos
EDR175590,Sabine
EDR124995,Quartilla
EDR175965,Primigenius
EDR175144,Castor
EDR128116,Chloe
EDR163600,cum
EDR151809,Valerius
EDR127411,vitae
EDR127411,Anus
EDR127411,scio
EDR127411,meminit
EDR127411,mortis
EDR127411,Aquiti
EDR128553,t
EDR128642,Lucius
EDR167898,Viriotal
EDR167898,Valerius
EDR167898,Amonius
EDR167898,Servilius
EDR167898,Marcus
EDR167898,Sequanus
EDR167898,Sedulatus
EDR167898,Viriod
EDR167898,Sextius
EDR167898,Viriotal
EDR167898,Valerius
EDR167898,Valerius
EDR146086,bene
EDR146086,Sollemnes
EDR145431,bene
EDR145431,Felix
EDR145437,Castrensis
EDR145437,calos
EDR148379,vale
EDR148379,Quartio
EDR148515,ἐνθάδε
EDR148515,Μουσαῖος
EDR148515,βινεῖ
EDR128753,in
EDR128753,quisquis
EDR128753,cathedra
EDR148820,Magnus
EDR148820,Aelius
EDR148820,suae
EDR148820,Plotillae
EDR148820,domina
EDR148820,rogo
EDR149160,modo
EDR149160,qui
EDR148831,sunt
EDR148831,Quota
EDR148831,dua
EDR148831,capita
EDR148831,quadrua
EDR148831,sella
EDR148831,dina
EDR148831,equales
EDR148831,vix
EDR124986,Anthis
EDR168487,Fortunate
EDR151072,Marci
EDR149105,vera
EDR149251,non
EDR149251,pateris
EDR149251,nos
EDR149251,et
EDR149251,futuere
EDR150507,Lucrio
EDR150507,Sarnensis
EDR150494,Fortunata
EDR167835,Faustus
EDR148671,assibus
EDR148671,Acetabula
EDR148671,semis
EDR148671,acetabula
EDR149345,fututor
EDR149345,Epagathus
EDR163702,Felicula
EDR163702,verna
EDR163702,assibus
EDR128651,Nonas
EDR128651,paenulam
EDR128651,Iulias
EDR128651,posita
EDR128651,palliolum
EDR128651,Faustillam
EDR128651,ad
EDR128651,deduxit
EDR128651,usura
EDR128651,aeris
EDR128651,asses
EDR128615,Aulus
EDR128615,assibus
EDR128615,Fabio
EDR168483,Burrenio
EDR168483,Sexto
EDR073610,Fulgur conditum
EDR151783,Caius
EDR151797,ψωλή
EDR151797,Antus
EDR163703,bellis
EDR163703,Menander
EDR163703,aeris
EDR163703,moribus
EDR163703,assibus
EDR127429,Ἥσυχος
EDR128778,Panem
EDR128779,Eleusinae
EDR128779,Matris
EDR128556,emis
EDR127081,Romulus
EDR127081,Cuproniusepol
EDR127081,caelo
EDR127081,in
EDR127081,equitat
EDR127081,Martis
EDR167581,ΜΕΖΗΘΙΚΛΛΙ
EDR124984,Nicopolis
