EDR124977,((:navis cum remis maloque))
EDR167661,((:gladiator galea cristata scuto sicaque armatus et fasciis subligaculo ocreisque indutus))
EDR167667,((:vir magnum phallum meientem tenens ad sin conversus))
EDR127218,((:avis ad sin))
EDR167813,((:Equus ad sin))
EDR167777,((:venatio equi venatores pisces et aliae figurae))
EDR128673,((:caput hominis ad sin conversum))
EDR128899,((:herma viri ad sin conversus))
EDR167816,((:equus infrenatus ad sin currens))
EDR124972,((:viri facies ad sin))
EDR147929,((:circulus florem continens))
EDR124974,((:circulus))
EDR147862,((:labyrinthus circularis))
EDR147874,((:circulus fortasse rota))
EDR147878,((:circulus florem continens))
EDR124976,((:equus ad sin incedens))
EDR124978,((:navis cum remis))
EDR147974,((:circuli circino tracti))
EDR167825,((:equus))
EDR167832,((:navis))
EDR167833,((:navis oneraria merces vehens et velis remis et rostro instructa))
EDR167666,((:duo capita hominum))
EDR167811,((:Equus infrenatus ad sin currens))
EDR167812,((:Equus infrenatus ad sin currens))
EDR167838,((:navis cum malo et rudibus))
EDR167827,((:quadrupes?))
EDR168132,((:carina navis?))
EDR168133,((:variae lineae alterae directae alterae curvae vela?))
EDR167842,((:navis cum remis et vectoribus))
EDR167806,((:vir pileatus et figura hominis))
EDR167859,((:duo gladiatores pugnantes))
EDR168237,((:phallus ad dext))
EDR168129,((:navis))
EDR167431,((:gladiator ad d armatus))
EDR173785,((:herma ad d prospiciens))
EDR148876,((:navis cum remis maloque))
EDR150296,((:figurae duorum gladiatorum alter retiarius est cum fuscina; alter cum hasta et fortasse cum fuscina armatus est))
EDR148418,((:stella))
EDR147933,((:circulus))
EDR148874,((:scutum)) ((:shield))
EDR167663,((:caput viri ad sin))
EDR167809,((:avis?)) ((:avis)) ((:phallus))
EDR167707,((:equus infrenatus ad d))
EDR167839,((:navis))
EDR168131,((:quadratum lineis variis notatum vela?))
EDR167845,((:navis cum malo))
EDR167481,((:duae aves oppositae ciconiae?))
EDR173705,((:circulus cum circino tractatus))
EDR167440,((:caput hominis ad d))
EDR167445,((:gladiator))
EDR167686,((:scutum))
EDR167451,((:herma prospiciens))
EDR167502,((:caput hominis ad dext))
EDR167477,((:caput hominis ad sin))
EDR176287,((:figura hominis tenens manu sinistra palmam et ambulans ad dextram))
EDR128582,((:equi caput et thorax))
EDR167490,((:caput hominis ad sin))
EDR167499,((:avis in saxo stans))
EDR167542,((:gladiator armatus thraex?))
EDR167711,((:avis parva ad sin folium carpens))
EDR167673,((:avis ad sin))
EDR125002,((:viri facies ad sin))
EDR168080,((:rete?))
EDR148380,((:labyrinthus circularis))
EDR167665,((:caput viri ad sin))
EDR167834,((:navis cum malo velis remis et gubernatore))
EDR167682,((:figura stans))
EDR167698,((:lineae variae intersectae))
EDR167700,((:gladiatorum figurae))
EDR167778,((:vir petasatus et alter baculum tenens (=Mercurius?) animal (taurus?) eos prosequens et duae figurae  procul))
EDR167814,((:equus infrenatus ad sin currens))
EDR167815,((:animal))
EDR167826,((:quadrupes ad sin))
EDR168071,((:figura hominis ad d induta palliolo))
EDR167774,((:navis cum malo et velis et remis))
EDR167840,((:navis cum velis?))
EDR167843,((:navis cum malo et velis))
EDR167846,((:navis cum malo))
EDR167856,((:navis))
EDR168076,((:navis instructa velis))
EDR168079,((:navis instructa velis))
EDR168127,((:navis instructa velis))
EDR168124,((:pars superior navis instructae velis maloque))
EDR168137,((:turris?))
EDR168134,((:pars superior navis vela et malus))
EDR168138,((:lineae variae phallus? vela?))
EDR147877,((:circulus))
EDR147972,((:circulus circulos et flores continens))
EDR168130,((:quattuor naves instructae velis malis et gubernaculis))
EDR168128,((:duae naves altera ad sin magna instructa velis malo et gubernaculo altera ad d parva instructa velis))
EDR176289,((:figura hominis)) ((:figura hominis))
EDR124973,((:circulus continens florem))
EDR148878,((:navis cum remis velis malisque))
EDR167808,((:Equus ad d))
EDR147517,((:circulus circulos continens))
EDR150297,((:figura gladiatoris cum galea ac fortasse scuto))
EDR147931,((:circulus circino tractus et florem continens))
EDR147973,((:circulus circino tractus et circulos floresque continens))
EDR148416,((:labyrinthus circularis))
EDR168107,((:navis instructa velis))
EDR152008,((:homo galeatus))
EDR159439,((:psittaci ut videtur figura))
EDR167413,((:navis velis et rudentibus et gubernaculo instructa))
EDR167828,((:piscis))
EDR167841,((:navis cum malo velis et remis))
EDR167844,((:navis cum malo velis et gubernaculo))
EDR167775,((:navis cum malo et velis))
EDR168103,((:pars phalli?))
EDR167498,((:tropaion?))
EDR167550,((:caput hominis ad sin))
EDR127849,((:instrumentum gladiatorum galea))  S++ sumit AIVNTI  CV  ((:instrumentum gladiatorum thorax))
EDR167410,((:galea gladiatoria ad sin))
EDR167710,((:gladiator quasi procumbens))
EDR167439,((:caput hominis ad sin))
EDR167441,((:caput hominis ad sin))
EDR167311,((:animal ad sin))
EDR167446,((:gladiator ad d galea scuto subligaculo ocreis armatus))
EDR167807,((:caput viri (Herculis?) ad sin))
EDR168136,((:carina navis et fortasse minor navis supra))
EDR168108,((:navis instructa velis remisque))
EDR167487,((:caput et artus anteriores equi ad sin))
EDR167489,((:caput hominis ad sin))
EDR167491,((:caput hominis ad sin))
EDR167492,((:caput hominis ad sin))
EDR128294,((:aves oppositae))
EDR168069,((:taurus capite cornuto ad d incedens))
EDR128583,((:Medusae? caput prospiciens))
EDR168070,((:figura hominis))
EDR168073,((:figura hominis?))
EDR159441,((:hominis facies))
EDR127237,((:caput hominis ad sin))
EDR167501,((:avis? ad sin))
EDR148877,((:navis cum malo))
EDR176283,((:figura hominis currens ad dex))
EDR168169,((:caput hominis ad sin))
EDR128585,((:caput hominis ad sin))
EDR167548,((:clipeus oblongus))
EDR128563,((:crux orbiculis ad extremum bracchiorum))
EDR147882,((:circulus florem continens))
EDR167703,((:caput gladiatoris galeatum))
EDR167708,((:gladiator cum palma))
EDR167675,((:caput hominis vel galea?))
EDR167858,((:duo gladiatores murmillo et samnes? scutis et galeis induti alter gladio brevi alter hasta armatus))
EDR167411,((:quadrupes ad d erectus))
EDR167674,((:avis ad sin))
EDR167664,((:duo capita gladiatoria? galeata))
EDR167709,((:caput hominis ad sin))
EDR167810,((:Equus ornatus et infrenatus ad sin currens))
EDR167857,((:gladiator galea cristata gladio scuto longoque armatus et subligaculo et fasciis indutus))
EDR168121,((:navis malo et prora et aplustri instructa))
EDR168105,((:caput ad sin))
EDR168078,((:parma gladiatoria))
EDR168081,((:navis velis maloque instructa))
EDR167547,((:caput hominis ad sin))
EDR167776,((:animal et gladiator?))
EDR168126,((:navis instructa gubernaculo et velis in quibus duo pisces magni et una avis sunt))
EDR167712,((:gladiator galea cristata scuto sicaque armatus))
EDR167714,((:caput hominis ad sin))
EDR167412,((:taurus ad d))
EDR167693,((:figura hominis))
EDR167447,((:duae aves ad sin))
EDR168046,((:duo phalli ad d))
EDR167453,((:caput hominis prospiciens))
EDR167478,((:herma ad sin))
EDR167615,((:avis ad d))  <:vacat 75 cm altitudine>   ((:avis ad sin))
EDR167500,((:caput et umeri hominis ad sin))
EDR167541,((:caput gladiatoris? ad d))
EDR167544,((:caput hominis ad sin))
EDR167679,((:duo scarabei? rotundi unus ad d quattuor pedibus incedens))
EDR167829,((:piscis ad d))
EDR171212,((:caput viri ad sin))
EDR168101,((:facies partim delineata nasum et labrum))
EDR176280,((:figura hominis currens ad sin))
EDR168135,((:linea curva intersecta aliis lineis))
EDR148882,((:navis))
EDR148381,((:labyrinthus circularis))
EDR148881,((:navis cum malo veloque))
EDR167414,((:caput hominis ad sin))
EDR168102,((:gladius))
EDR168077,((:anser stans))
EDR167823,((:caput equi ad d))
EDR167824,((:Equus ad sin))
EDR167704,((:caput gladiatoris galeatum))
EDR168125,((:pars superior navis instructae velis maloque))
EDR167705,((:caput hominis ad sin))
EDR168109,((:navis instructa velis))
EDR176284,((:figura hominis currens ad dex))
EDR148875,((:navis cum malo velo et remis))
EDR148879,((:navis cum velo))
EDR168104,((:caput ad sin))
EDR167471,((:gladiator prospiciens sica et scuto armatus))
EDR167476,((:gladiator ad d armatus))
EDR167683,((:lineae diversae in imagine scuti))
EDR167706,((:venatio eques ad d hasta scuto gladioque armatus cervum iaculo vulneratum prosequens))
EDR176285,((:figura bucinae))
EDR150397,((:casulae frons cui et ad d et ad sin palma adiecta est et cuius portam quadrupes petit qui cornibus longis in cervi modum praeditus esse videtur))
EDR168067,((:figura hominis vestimentis induta togati?))
EDR167822,((:equus infrenatus ad sin currens))
EDR167830,((:duo pisces ad sin conversi))
EDR167479,((:herma ad sin))
EDR167831,((:carina navis))
EDR168106,((:figura hominis currens ad sin))
EDR167503,((:duo capita hominum ad sin))
EDR167713,((:galea gladiatoria cristata))
EDR167549,((:scyphus))
EDR168074,((:caput ad sin))
EDR176281,((:figura hominis currens ))
EDR167677,((:caput hominis prospiciens))
EDR167689,((:figura stans))
EDR128557,((:caput hominis))
EDR176288,((:figura hominis))
EDR176288,((:figura hominis))
EDR128279,((:tridens?))
EDR175590,((:palma))
EDR175590,((:palma))
EDR149285,((:phallus))
EDR175965,((:navis))
EDR175965,((:gladiator cum scuto longo galea et gladio))
EDR175144,((:equus))
EDR151809,((:galea cristata columnae vel polo imposita))
EDR151809,((:gladiator armatus))
EDR167898,((:duo ornamenta scuti))
EDR148379,((:labyrinthus))
EDR148379,((:labyrinth))
EDR149345,((:centuria?))
EDR127429,((:caput hominis))
EDR167472,((:avis externa in arboris ramo stans))
EDR175600,((:anser spectans ad sinistram))
EDR127815,((:phallus))
EDR163899,((:animal))
EDR174883,((:phallus))
EDR128738,((:trophaeum?))
EDR147857,((:nomen Psyche in medio corde))
EDR127368,((:corona))
EDR127368,((:palma))
EDR149196,((:duo gladiatores a quibus alter sub SAC alterum sub M tridente petit))
EDR175859,((:Palma est posita inter verba et omnia scuto cum hastis inclusa sunt))
EDR128757,((:figura hominis ad sin))
EDR128017,((:caduceus))
EDR128017,((:caduceus))
