Anteros,anteros,anteros,N3B,6467,m,NpC
Anteros,anteros,anterus,N2,6470,m,NpB
Vesbinus,uesbinus,uesbinus,N2/1,88944,*,Af-
Nicopolis,nicopolis,nicopolis,N3B,55072,f,NpC
Daphnus,daphnus,daphnus,N2,22961,m,NpB
Antoni,antoni,antonius,N2,6770,m,NpB
Antoni,antoni,antonius,N2/1,6769,*,Af-
Ceio,ceio,ceius,N2/1,15431,*,Af-
Pompeianis,pompeianis,pompeianus,N2/1,64624,*,Af-
Faustinum,faustinum,faustinus,N2/1,32540,*,Af-
Hermeros,hermeros,hermeros,N3B,37786,m,NpC
Chloe,chloe,chloe,N1,16334,f,NpA
Chloe,chloe,chloe,N1,16334,f,NpA
Valerius,ualerius,ualerius,N2/1,87813,*,Af-
Valerius,ualerius,ualerius,N2/1,87813,*,Af-
Aquiti,aquiti,aquitius,N2,7618,m,NpB
Amonius,amonius,amonius,N2/1,5300,*,Af-
Amonius,amonius,amonius,N2/1,5300,*,Af-
Sequanus,sequanus,sequanus,N2,75471,m,NpB
Sequanus,sequanus,sequanus,N2/1,75470,*,Af-
Aelius,aelius,aelius,N2/1,2720,*,Af-
Aelius,aelius,aelius,N2,2721,m,NpB
Aelius,aelius,aelius,N2/1,2720,*,Af-
Epagathus,epagathus,epagathus,N2,29040,m,NpB
Fabio,fabio,fabius,N2/1,32012,*,Af-
Fabio,fabio,fabius,N2/1,32013,*,Af-
Caius,caius,caius,N2/1,13557,*,Af-
Menander,menander,menander,N2,51285,m,NpB
Romulus,romulus,romulus,N2/1,71648,*,Af-
Martis,martis,martis,N3B,50248,*,NpC
Martis,martis,marta,N1,50213,f,NpA
Martis,martis,martae,N1,50214,f,NpA
Martis,martis,martus,N2,50255,2,NpB
Martis,martis,martius,N2/1,50251,*,Af-
Martis,martis,mars,N3B,50193,m,NpC
Voconius,uoconius,uoconius,N2/1,90168,*,Af-
Voconius,uoconius,uoconius,N2,90169,m,NpB
Voconius,uoconius,uoconius,N2/1,90168,*,Af-
Pyrrichus,pyrrichus,pyrrichus,N2,68400,m,NpB
Albanius,albanius,albanus,N2/1,3939,*,Af-
Albanius,albanius,albani,N2/1,3935,*,Af-
Aurelius,aurelius,aurelius,N2/1,10250,*,Af-
Aurelius,aurelius,aurelius,N2,10251,m,NpB
Aurelius,aurelius,aurelius,N2/1,10250,*,Af-
Publi,publi,publius,N2/1,67859,*,Af-
Manio,manio,manius,N2/1,49766,*,Af-
Beronice,beronice,beronice,N1,11685,f,NpA
Beronice,beronice,beronice,N1,11685,f,NpA
Thraso,thraso,thraso,N3B,83961,m,NpC
Publius,publius,publius,N2/1,67859,*,Af-
Publius,publius,publius,N2/1,67859,*,Af-
Titi,titi,titus,N2,84434,m,NpB
Titi,titi,titus,N2,84435,m,NpB
Titi,titi,titius,N2/1,84411,*,Af-
Lolli,lolli,lollius,N2/1,47833,*,Af-
Leon,leon,leon,N3B,46623,m,NpC
Mopsus,mopsus,mopsus,N2,52980,m,NpB
Cornelius,cornelius,cornelius,N2/1,21207,*,Af-
Cornelius,cornelius,cornelius,N2/1,21208,*,Af-
Cornelius,cornelius,cornelius,N2/1,21207,*,Af-
Cornelius,cornelius,cornelius,N2/1,21208,*,Af-
Faventinus,fauentinus,fauentinus,N2/1,32556,*,Af-
Livius,liuius,liuius,N2/1,47686,*,Af-
Livius,liuius,liuius,N2/1,47686,*,Af-
Atilius,atilius,atilius,N2/1,9696,*,Af-
Atilius,atilius,atilius,N2/1,9696,*,Af-
Phryges,phryges,phryges,N3B,63279,m,NpC
Phryges,phryges,phryges,N3B,63279,m,NpC
Phryges,phryges,phryx,N3B,63295,2,NpC
Celerina,celerina,celerinus,N2/1,15471,*,Af-
Phoebus,phoebus,phoebus,N2,63188,m,NpB
Lucilius,lucilius,lucilius,N2/1,48099,*,Af-
Lucilius,lucilius,lucilius,N2/1,48099,*,Af-
Siculus,siculus,siculus,N2,76133,m,NpB
Siculus,siculus,siculus,N2/1,76132,*,Af-
Theophilus,theophilus,theophilus,N2/1,83695,*,Af-
Nice,nice,nice,N1,55023,f,NpA
Nice,nice,nice,N1,55023,f,NpA
Euplus,euplus,euplus,N2,30295,m,NpB
Hispanus,hispanus,hispanus,N2/1,38378,*,Af-
Epaphra,epaphra,epaphra,N1,29059,m,NpA
Tychen,tychen,tyche,N1,86618,f,NpA
Titinius,titinius,titinius,N2/1,84402,*,Af-
Titinius,titinius,titinius,N2/1,84402,*,Af-
Valentinae,ualentinae,ualentini,N2/1,87803,*,Af-
Casium,casium,casium,N2,14884,n,NpB
Casium,casium,casius,N2/1,14885,*,Af-
Bruttidi,bruttidi,bruttidius,N2/1,12780,*,Af-
Anchario,anchario,ancharius,N2/1,5807,*,Af-
Psyche,psyche,psyche,N1,67777,f,NpA
Psyche,psyche,psyche,N1,67777,f,NpA
Aristo,aristo,aristo,N3B,8420,m,NpC
Aristo,aristo,aristus,N2/1,8458,*,Af-
Atilio,atilio,atilius,N2/1,9696,*,Af-
Lollius,lollius,lollius,N2/1,47833,*,Af-
Lollius,lollius,lollius,N2/1,47833,*,Af-
Caecilius,caecilius,caecilius,N2/1,13312,*,Af-
Caecilius,caecilius,caecilius,N2,13313,m,NpB
Caecilius,caecilius,caecilius,N2/1,13312,*,Af-
Vitalio,uitalio,uitalio,N3B,89928,m,NpC
Nonio,nonio,nonius,N2/1,55462,*,Af-
Nais,nais,nais,N3B,54051,f,NpC
Nais,nais,naa,N1,53981,m,NpA
Nais,nais,naus,N2,54366,m,NpB
Phosphorus,phosphorus,phosphorus,N2,63245,m,NpB
