EDR168304,AB
EDR128542,X
EDR128542,L
EDR128542,I
EDR128542,I
EDR128542,I
EDR128544,IIIIIIIIIIIIIII
EDR128581,VIII
EDR148677,XIX
EDR128554,II
EDR128554,II
EDR128749,D
EDR128749,D
EDR128749,D
EDR128749,D
EDR128749,D
EDR173488,II
EDR151912,<:vacat>
EDR151912,ΜΗΜ+++++++
EDR168704,X
EDR175754,<:vacat>
EDR180208,V
EDR128557,II
EDR176288,M
EDR072296,CR
EDR150503,Sever〚u〛
EDR128279,LICA
EDR175590,HIIRMIROIITEAMATA
EDR124969,IIIIIIIIIIII
EDR124969,IIIIIIIIIIIIIIII
EDR124969,IIIIIIIII
EDR124969,IIIIIII
EDR124969,IIIIIIII
EDR124969,II
EDR124969,IIIII
EDR149285,MO
EDR149285,A
EDR128116,++++
EDR163600,-
EDR163600,-
EDR163600,-ius
EDR151809,dexteram>
EDR151809,&#60;ad
EDR151809,M---?
EDR151809,-
EDR151809,IV-
EDR151809,<:infra>
EDR151809,-
EDR128553,C
EDR128553,F
EDR128553,C
EDR128553,C
EDR127409,Q
EDR167898, - - - - - - 
EDR167898,<:vacat>
EDR167898,CL
EDR167898,XXV
EDR167898,LXXV
EDR167898,C
EDR167898,L
EDR167898,LXXV
EDR167898,XXV
EDR167898,LXXV
EDR167898,<:vacat>
EDR167898,+TOFAG
EDR167898,+NARTO
EDR167898,L
EDR167898,X
EDR167898,L
EDR167898,<:columna 2>
EDR167898,X
EDR167898, - - - - - - 
EDR167898,C
EDR167898,CL
EDR167898,LXXV
EDR149160,-
EDR149160,mo-
EDR149160,-
EDR168487, - - - - - - 
EDR168487,-
EDR168487,-
EDR168487,-
EDR168487,-
EDR168487,-
EDR149251,-
EDR149251,-
EDR149251,-vi
EDR150507,Amasuc+++
EDR151921,SER
EDR151921,A
EDR148671,II
EDR148671,II
EDR149345,<:vacat>
EDR149345,II
EDR149345,C
EDR128651,IV
EDR128651,L
EDR128651,Pro---
EDR128651,XIIIS
EDR128615,A
EDR128615,A
EDR128615,Septumiu---icio
EDR128759,CII
EDR128759,MI
EDR128759,XXI
EDR128759,X
EDR128751,<:stria 7>
EDR128751,X
EDR128751,MV
EDR127429,<:nomen scriptum ad dexteram imaginis scariphatae>
EDR128778,---
EDR128778,PVRTARIVM+
EDR128556,CC
EDR175186,C
EDR175186,X
EDR175186,I
EDR127416,D
EDR127416,D
EDR127416,X
EDR127422,ROTV
EDR127422,ROTVIIIII
EDR168366,<:vacat>
EDR168366,R
EDR128062,VI
EDR127413,VII
EDR127418,<:striae 12-13>
EDR127418,QV
EDR175486,OLIM
EDR175486,ROMA
EDR175486,MILO
EDR168515,M-
EDR168515,-i
EDR168515,-
EDR176044,<:vacat>
EDR176044,VCCXCII
EDR176044,V
EDR176044,CXXCIVI
EDR176044,V
EDR176044,CCXC
EDR176044,V
EDR176044,CCCXIII
EDR176044,<:vacat>
EDR176044,CCVXI
EDR176044,LXXIIX
EDR176044,CC
EDR127398,CENTRV+
EDR127398,+Iuilius
EDR168762,-
EDR168762,RIIFDC-
EDR168762,<:litteris inversis>
EDR168762,-
EDR128049,<:columna II stria 5>
EDR167324,MM
EDR167324,A
EDR167324,M
EDR167324,M
EDR167324,<:columna II=stria 20>
EDR167324,KRVS
EDR161835,A
EDR161835,E
EDR161835,S
EDR161835,R
EDR071917,-
EDR167991,XX
EDR167991,R
EDR167991,XX
EDR167699,<:stria 16>
EDR167699,DP
EDR167699,A
EDR167699,A
EDR167726,<:stria 8>
EDR168362,LIHSTI
EDR071918,i-dicio
EDR168281,PMIC+++RMA
EDR167887,VI
EDR167887,QVA
EDR168120,C
EDR168120,D
EDR168019,<:columna 2 ad perpendiculum>
EDR168019,A
EDR149162,N
EDR128661,I
EDR128661,I
EDR127231,·
EDR149205,MM
EDR149205,CV
EDR128117,HLO
EDR128117,O
EDR149204,XVS
EDR168043,<:vacat>
EDR163882,tu+eriti
EDR168481,VI
EDR168481,VII
EDR168481,I
EDR168481,S
EDR168481,I
EDR168481,C
EDR168481,I
EDR168481,I
EDR163895,M
EDR163895,RFVB
EDR163899,BCN
EDR151790,〚XIX〛
EDR151052,〚a+3+〛
EDR175237,VI
EDR175237,VIII
EDR175774,D
EDR175774,C
EDR175774,E
EDR175774,O
EDR175774,C
EDR175884,<:vacat>
EDR175884,MMVNI---
EDR175884,XIII
EDR175884,LICARIO
EDR175884,---
EDR175884,<:vacat>
EDR175884,---
EDR175884,<:vacat>
EDR175884,CATETVM++
EDR175884,I
EDR175933,IIX
EDR175933,CC
EDR167424,------
EDR167424,C
EDR167424,XXV
EDR167424,C
EDR167424,C
EDR167424,XXV
EDR167424,XXV
EDR167424,<:vacat>
EDR167424,LXXV
EDR167424,LXXV
EDR167424,<:vacat>
EDR167424,<:vacat>
EDR167424,L
EDR167424,XXV
EDR167424,-
EDR167424,-
EDR167424,-
EDR167424,-
EDR167424,LX
EDR167424,-
EDR167424,-
EDR167424,-
EDR167424,-
EDR167424,-
EDR167424,-
EDR167424,-
EDR167424,-
EDR167424,-
EDR167424,L
EDR167424,-
EDR167424,-
EDR167424,-
EDR167424,L
EDR167424,-
EDR167113,-
EDR167113,-
EDR167113,LXXVL
EDR167113,-XXXCCCCCXXVIXXVC
EDR167113,DD
EDR167113,S
EDR167186,O
EDR167186,OGINTITRAI+1?+++
EDR167186,<:vacat>
EDR167186,REDXAE
EDR167186,<:vacat>
EDR167186,N
EDR167186,+2?+DECO
EDR167186,<:vacat>
EDR167186,CAVDANOS
EDR167186,QV+1?+MNE
EDR168005,VI
EDR151806,CIII
EDR151806,II
EDR167817,C
EDR167817,CCC
EDR167817,CLXXVXXV
EDR167817,CLXXV
EDR167817,-
EDR167817,C-
EDR167552,-
EDR167552,-
EDR167552,-
EDR167552,-
EDR167552,-
EDR167715,III
EDR167788,XI
EDR167788,<:vacat>
EDR167788,XV
EDR167788,V
EDR151786,+1+
EDR151859,Sei-
EDR151859,-
EDR151859,-
EDR151859,-
EDR151859,Odem-
EDR158841,-
EDR158841,-
EDR167618,C
EDR167618,VI+IV+A
EDR167618,<:vacat>
EDR167618,CA+BI
EDR128287,<:stria 12>
EDR128287,X
EDR128287,R
EDR128287,X
EDR151830,OR
EDR151830,-
EDR151830,-
EDR127403,<:stria 2>
EDR127403,X
EDR127403,<:stria 8>
EDR127403,O
EDR127403,<:stria 12>
EDR127403,A
EDR127403,<:stria 14>
EDR127403,M
EDR127403,<:stria 20>
EDR127403,X
EDR151054,CRI
EDR180466,B
EDR180466,A
EDR180466,D
EDR180466,C
EDR180466,I
EDR180466,II
EDR180466,V
EDR180466,G
EDR180466,T
EDR167574,Pompe&#60;:vacat&#62;
EDR167574,IV
EDR167574,III
EDR167574,III
EDR167574,I
EDR167574,I
EDR128738,NAS
EDR128738,ATIIIIVS
EDR128663,<:stria 12>
EDR128663,V
EDR128663,<:striae 15-16>
EDR128663,R
EDR128663,<:stria 17>
EDR128663,SSS
EDR128016,A
EDR128016,L
EDR127417,R
EDR127417,RO++
EDR127417,R
EDR127417,O
EDR127417,R
EDR127979,B
EDR127979,IRI
EDR167996,<:vacat>
EDR167996,VI
EDR167996,<:vacat>
EDR167996,XI
EDR128057,RN
EDR128057,MAT
EDR128057,+
EDR128058,FV
EDR127158,VIII
EDR163525,-ic
EDR163397,V
EDR128776,FI
EDR128776,MA
EDR127819,NT
EDR127821,·
EDR163900,ABCDE
EDR128754,<:stria 15>
EDR128754,X
EDR127414,·
EDR128770,T---
EDR124971,IIIIIIIIIIIIIIIIIIIII
EDR167630,Qu++nitu
EDR167630,VEN
EDR149196,<:lectio incerta>
EDR167649,RV
EDR167373,VI
EDR167373,ACP
EDR167408,E
EDR128757,PO
EDR128017,D
EDR128017,D
EDR128017,ATA
EDR128017,R
EDR128017,B
EDR128017,S
EDR128017,S
EDR128017,CX
EDR128017,S
EDR128017,S
EDR128017,S
EDR128017,<:textus non legitur>
EDR167678,B
EDR167684,<:stria 9>
EDR167684,<:stria 13>
EDR167684,<:striae 15-16>
EDR167684,V+AIS
EDR151709,-
EDR151709,ASM-
EDR167680,S
EDR167680,T
EDR168028,COR
EDR128750,<:stria 8>
EDR128750,X
EDR128750,X
EDR128750,IIIII
EDR128750,X
EDR128750,X
EDR128750,<:stria 16>
EDR128750,X
EDR128750,<:stria 17>
EDR128750,X
EDR168038,III
EDR167946,·
EDR167946,DXVS·
EDR167946,DEC
EDR167946,X
EDR167946,X
EDR143648,<:columna II>
EDR149403,IL
EDR077698,VII
EDR167732,AIM
EDR168288,XXIV
EDR168288,PRI
EDR167874,VIV
EDR168285,CO&#60;:vacat&#62;
EDR167884,QVINT
EDR167884,SAMNI
EDR167884,SA
EDR167894,S
EDR167894,C
EDR167894,<:stria 17>
EDR167894,A
EDR128558,X
EDR167999,A
EDR167583,M
EDR168001,VI
EDR168001,VIII
EDR168001,<:columna III>
EDR168001,VIII
EDR168001,<:columna IV>
EDR168001,VIII
EDR168001,<:columna V>
EDR168001,III
EDR167821,O
EDR167819,EIACIA++CV+4?+++
EDR167819,APSOIVASCRIO
EDR167819,<:vacat>
EDR167836,ΑΒΡΔΑΡΑ+5+ΩΑΡ+1+ΑΡΜ
EDR167836,+
EDR167836,·
EDR167836,+ΟΤΕΓΑΡΑΙΓΥT+2+EΠΕΜΠ
EDR167836,ΟΟ+2+Μ+1+ΡΙ+2+ΓΥ+ΩΠΙ
EDR167837,ID-D
EDR167837,+N+DVS
EDR167837,VETR++
EDR167837,PDICAP-+
EDR166087,VIII
EDR166087,IIIIII
EDR171445,FLAVD
EDR167955,Amandum---um
EDR168643,TI
EDR180222,XVII
EDR180222,IIVICII
EDR176439,B
EDR176439,A
EDR176440,B
EDR176440,A
EDR176440,C
EDR176983,P
EDR176983,S
EDR149188,-
EDR149188,Abcedfgh-
EDR149186,C
EDR175967,<:ad sinistram>
EDR175967,C---ΑΔΑΙ (:ἐνθάδε)
EDR128546,IIIIIIIIIIIIIII
EDR128546,IIIIIIIIIIII
EDR128546,IIIIIIIIIIIIII
EDR148788,VI
EDR163886,III
EDR163886,XIIII
EDR163886,<:vacat>
EDR163886,XX
EDR163886,<:vacat>
EDR163886,XXV
EDR166094,XVI
EDR167716,G
EDR163528,N
EDR163528,L
EDR163528,F
EDR163692,-
EDR163692,Silenu-
EDR168356,-
EDR168356,-
EDR168356,-r
EDR168489,S
EDR167860,F
EDR167860,IST
EDR167860,NIIIC
EDR168139,IDVNSESISEVSSVITIDIAA
EDR168139,IVC+VONTVS
EDR168041,Q
EDR168041,M
EDR168041,Q
EDR168023,Sec+dus
EDR175159,DII
EDR175159,XNAXIIIDIIII
EDR175795,ANA
EDR179030,-
EDR179030,ABCD-
EDR179030,-KMNO
EDR180227,III
EDR180227,XII
EDR180227,XII
EDR148652,V
EDR148672,Ie++
EDR081356,--- mirabile
EDR163896,genes---
EDR128555,VIIII
EDR128555,XXIIIIIII
EDR128555,VII
EDR128555,VIII
EDR128555,IIIIII
EDR128555,IIII
EDR128555,IIIIIIII
EDR128555,IIIIII
EDR128555,X
EDR128555,IIIIIIII
EDR128555,IIIIIIII
EDR128555,IIIIIIII
EDR128555,IIIIII
EDR128555,IIIIII
EDR128555,XVII
EDR128555,XXIIIIIIIIII
EDR128555,XXXXX
EDR128555,IIIIIIIIIIIII
EDR128555,IIIIIII
EDR128555,X
EDR128555,IIIII
EDR128555,III
EDR128562,<:ianua>
EDR128562,IIIIII
EDR128562,IIIIIIIIIIIIIII
EDR128562,IIIIIIIIIIIIIIIIII
EDR128562,IIIIIIIIIIIIIIII
EDR128562,IIIIIIIII
EDR167331,X
EDR149052,-
EDR149052,-MOR-
EDR149052,-
EDR149052,-
EDR149332,cu---ma
EDR148829,V
EDR149189,<:vacat>
EDR149189,D
EDR149189,D
EDR149189,BA
EDR148685,XIIII
EDR148685,-
EDR148685,-
EDR148685,-
EDR148685,XLVII
EDR163604,A
EDR163604,S
EDR168759,M
EDR168759,C
EDR161837,Glo+rus
EDR163601,N+++++++
EDR166083,XII
EDR166097,VIIII
EDR073638,<:vacat>
EDR073638,S
EDR073638,<:pars II>
EDR073638,<:pars III>
EDR073638,N
EDR073638,A
EDR175189,---s
EDR175189,---r
EDR168354,-
EDR168354,h-
EDR168354,-r
EDR168194,XXXXIII
EDR168194,XXXXII
EDR168194,XXXXII
EDR168194,XXXXII
EDR168635,XIIX
EDR175773,CI
EDR175773,CC
EDR171304,X
EDR171304,X
EDR171304,<:stria 16>
EDR171304,X
EDR149046,IV
EDR175772,MCIIRVLIIVS
EDR175777,V
EDR175962,<:pone hanc?>
EDR175962,IIIIIIIIIIIIIIIIIIIIIIIII
EDR175962,<:infra?>
EDR175962,IIIIIIIIIIIIIIIIIIIIIII
EDR175882,NIOIVIDII
EDR175882,DC
EDR175882,MAVINIMI
EDR175797,III
EDR175797,II---
EDR175797,CATAN---
EDR175797,MALLI---
EDR176980,R
EDR176980,Q
EDR180465,I
EDR180465,I
EDR180465,I
EDR180465,I
EDR180465,I
EDR180465,I
EDR180465,I
EDR180465,I
EDR180465,I
EDR180465,I
EDR180465,I
EDR180465,I
EDR180465,I
EDR180465,I
EDR180465,I
EDR180465,I
EDR180465,X
EDR180465,I
EDR180465,I
EDR180465,X
EDR180465,I
EDR180206,a---
EDR180206,fem---s
EDR128545,XII
EDR128545,VII
EDR180346,XI
EDR128559,II
EDR127421,S
EDR127421,Q
EDR127421,<:stria 7>
EDR127421,S
EDR127421,QII
EDR148684,IIX
EDR149110,·
EDR149110,·
EDR149110,A---
EDR149249,---
EDR167050,O---
EDR148682,-
EDR148682,-
EDR148682,<:columna III>
EDR148682,-
EDR149017,-
EDR149017,Prim-
EDR149017,-
EDR149017,-ac-
EDR149302,IIIIIIIIIIIIIIIIIIIIIIIIIIIIII
EDR149302,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII
EDR149302,IIIIIIIIIIIIIIII
EDR166071,IIIIIIIIIIIIII
EDR163351,DCCCCLXXXX
EDR163351,DCCCCC
EDR163351,DCCCLXXXXVIIII
EDR167952,F
EDR167952,C
EDR175146,I
EDR127415,<:stria 11>
EDR127415,X
EDR127415,G
EDR175878,------
EDR168703,XXXXIIXXXIII
EDR180217,XVII
EDR180464,I
EDR180464,---
EDR180464,I
EDR180464,I
EDR180464,I
EDR180464,I
EDR180464,I
EDR180464,I
EDR180464,I
EDR180464,I
EDR180464,I
EDR180464,I
EDR180464,I
EDR180464,I
EDR180464,I
EDR180464,I
EDR180464,I
EDR180464,I
EDR180464,I
EDR180464,I
EDR180464,I
EDR180464,X
EDR180464,I
EDR180464,I
EDR180464,I
EDR180464,I
EDR180464,X
EDR180464,·
EDR180464,X
EDR180464,---
EDR180464,I
EDR180464,X
EDR180464,I
EDR180464,I
EDR180464,I
EDR180464,I
EDR180464,I
EDR180464,I
EDR124975,L---
EDR124975,P---
EDR124975,V---
EDR127843,B
EDR127843,SS
EDR127980,<:stria 8>
EDR127980,C
EDR127810,H
EDR127810,S
EDR128662,I
EDR149159,NOI-
EDR127188,<:stria 5>
EDR127188,M
EDR127188,<:stria 10>
EDR127188,B
EDR127188,<:stria 11>
EDR127188,M
EDR128293,T---
EDR127813,RA
EDR149045,-
EDR149045,-
EDR149045,-
EDR149045,-ECMONA-
EDR150188,VIII
EDR149187,<:trans hanc>
EDR149187,M
EDR149187,M
EDR149187,M
EDR148653,mavir--um
EDR149975,〚+10+V〛
EDR151727,-
EDR151727,-
EDR151727,-
EDR151727,-
EDR151727,D-
EDR161824,<:col II>
EDR161824,SSIIX
EDR163887,VIII
EDR151839,R
EDR151839,AB
EDR146189,---A---
EDR151781,SOIP
EDR151781,EGROTENE
EDR151803,VIIII
EDR151803,CCC
EDR151803,SS
EDR151803,VIIII
EDR151803,CCCC
EDR168363,IOCHV
EDR173485,XVII
EDR173485,LVII
EDR173485,CXXXX
EDR173485,XXI
EDR173485,LXVII
EDR175930,<:vacat>
EDR175930,MAXIS
EDR175930,MAXI
EDR175930,M
EDR175930,<:proxima stria>
EDR175930,MAXIS
EDR176045,VII
EDR176045,MI
EDR176045,VII
EDR176045,IV
EDR176045,X
EDR176045,VIII
EDR176045,X
EDR176045,V
EDR176045,VI
EDR176045,VII
EDR176045,V
EDR176045,XI
EDR176045,---
EDR176045,VII
EDR176045,VII
EDR176045,III
EDR176045,IX
EDR176045,VI
EDR176045,IIX
EDR175883,T--?U
EDR175883,TUNCAS
EDR175883,---
EDR175883,---
EDR175883,N
EDR175883,---
EDR175883,ICI
EDR128616,CCC+
EDR128734,II
EDR128734,III
EDR128734,OXC
EDR128734,I
EDR128734,IIII
EDR128734,OM+
EDR128734,IIII
EDR128734,XI
EDR128734,I
EDR128734,I
EDR128734,I
EDR128734,Gavi+
EDR128734,IIII
EDR128734,I
EDR168303,Q
EDR168286,<:stria 16>
EDR167990,<:vacat>
EDR146123,XVII
EDR151048,〚+++〛
EDR175238,V
EDR175238,IIII
EDR175238,VI
EDR175238,V
EDR144787,n---
EDR144787,p---
EDR144787,lude---
EDR128760,<:stria 14>
EDR128760,V
EDR127427,<:vacat>
EDR143927,---n
EDR143927,---sumat
EDR143927,ap---
EDR143927,---sumpti
EDR143927,va---
EDR143927,---udam
EDR143927,a---
EDR144788,v---
EDR144788,s---
EDR166494,DI
EDR166494,CDFEGIII
EDR151842,CA
EDR151842,-
EDR151842,C+
EDR151842,-
EDR167974,Opt&#60;:vacat&#62;atus (:Optatus)
EDR174688,<:stria 12>
EDR174688,A
EDR167694,<:stria 15>
EDR167694,MA
EDR167694,<:stria 16>
EDR167694,R
EDR167372,<:columna II=stria 5>
EDR167372,QID
EDR167372,<:columna III=stria 6>
EDR167372,DA
EDR167372,X
EDR167372,<:columna IV=stria 9>
EDR167372,A
EDR167372,M
EDR159687,<:vacat>
EDR159687,<:vacat>
EDR159687,SOES
EDR175776,XX
EDR167540,<:vacat>
EDR167540,L
EDR167540,LXXV
EDR167540,XXV
EDR167540,CL
EDR167540,LXXV
EDR167540,<:vacat>
EDR167540,C
EDR128752,<:columna II>
EDR128752,IIIIIIIIIII
EDR163694,-
EDR163694,-
EDR163694,-
EDR163694,-
EDR163694,-
EDR167861,III
EDR167987,APPA
EDR173489,M
EDR176101,VIIII
EDR176101,XII-CL
EDR176101,XV
EDR175871,M
EDR168484,S
EDR168484,I
EDR168057,++
EDR168057,GAVDA
EDR168057,+ELL++
EDR168057,-
EDR168039,III
EDR175961,III
EDR175961,XXXIIIIIIIIIIIIIII
EDR175961,--IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII
EDR175961,XXXXXIII
EDR175961,<:vacat>
EDR175961,<:infra hanc>
EDR175961,IIIIIII
EDR175961,XXXX
EDR175961,XX
EDR168284,<:stria 8>
EDR168284,LX
EDR167626,<:textus non legitur>
EDR167626,CTV
EDR167676,R
EDR167676,R
EDR167729,HIICVII
EDR167729,I
EDR175508,XXXIIII
EDR175508,·
EDR175508,XXXXXV
EDR175215,li++
EDR175215,IV
EDR175215,〚II 〛
EDR175215,II
EDR175215,II
EDR175215,I
EDR175215,me+t (:mentam)
EDR175215,I
EDR175215,I
EDR175946,VIII
EDR148830,AAAOER-----S
EDR148830,ETA
EDR148830,VS
EDR148830,PAS---AN
EDR161823,+
EDR151796,REINERS
EDR151760,-
EDR151760,OPEVAL++L-
EDR151760,PLA-
EDR151760,-
EDR151760,-
EDR175755,<:vacat>
EDR148673,III
EDR167998,XXVII
EDR167718,XI
EDR167871,Q
EDR167871,Q
EDR127976,VA
EDR127976,MVLIIRIANVS
EDR127976,HVS
EDR127412,D
EDR127412,D
EDR127412,V
EDR127412,DC
EDR127412,V
EDR127412,V
EDR127412,XX
EDR168365,STI
EDR150505,Ver+++
EDR073314,<:servus>
EDR073314,+++s
EDR163595,-
EDR163595,-
EDR163595,-+
EDR163595,v+
EDR163595,<:vacat>
EDR128733,I
EDR128733,I
EDR128733,I
EDR128733,II
EDR128733,II
EDR128733,I
EDR175589,<:vacat>
EDR167426,<:stria 10>
EDR167426,F
EDR167426,<:stria 13>
EDR167426,R
EDR151415,·
EDR128114,<:stria 16>
EDR128660,I
EDR128774,<:vacat>
EDR128774,PI
EDR128774,G
EDR128774,G
EDR163402,V
EDR163402,P
EDR163402,A
EDR167051,GAVDAN
EDR167545,-
EDR167545,-
EDR167545,-
EDR167545,-SF-
EDR167545,-
EDR167915,-
EDR167915,-
EDR127812,A+II+AIIPIDIIIS
EDR128118,<:vacat>
EDR127817,·
EDR127817,·
EDR147519,<:vv 2-4 intra lineis dispositis in quadrato scripti sunt>
EDR127972,I
EDR127972,I
EDR143925,---
EDR166749,---
EDR167507,VII
EDR167115,<:vacat>
EDR167115,IV
EDR167115,VI
EDR167115,CE+RIA
EDR168160,VII
EDR168160,VI
EDR168160,V
EDR159671,C-atit
EDR167681,<:vacat>
EDR167681,M
EDR167681,A
EDR161769,+1?+ITICES
EDR127192,L
EDR167391,BE
EDR167820,VTR
EDR163530,+lig+++e+
EDR168047,PVNICO
EDR168161,XII
EDR168161,XI
EDR168161,X
EDR168161,IX
EDR168161,IIX
EDR168161,VII
EDR168161,II-
EDR168161,-
EDR168161,-
EDR167909,<:striae 6-7>
EDR167909,<:stria 12>
EDR167909,CX
EDR175929,+esserit (:presserit?)
EDR168178,s²+
