EDR180208,((sestertiis))
EDR148671,((scripula?))
EDR128615,((%1000))
EDR127579,((centuria))
EDR127297,((centuria))
EDR128754,((denarius))
EDR127807,((centuria))
EDR128750,((denarius))
EDR148788,((scripula?))
EDR148685,((denarius))
EDR148685,((denarius))
EDR127160,((centuria))
EDR163351,((sextans))
EDR163351,((semis))
EDR163351,((semis))
EDR163351,((uncia))
EDR175146,((denarius))
EDR168703,((scripulum))
EDR128734,((denarium))
EDR128760,((signum))
EDR166098,((semis))
EDR175946,((quadrans))
EDR128067,((centuria))
EDR127578,((centuria))
EDR128082,((centuria))
