City,Insula,Main Entrance,Pompeii in Pics URL
Pompeii,VII.12,18-20,https://pompeiiinpictures.com/pompeiiinpictures/R7/7%2012%2018.htm
Pompeii,VIII.1,1,https://pompeiiinpictures.com/pompeiiinpictures/R8/8%2001%2001%20p1.htm
Pompeii,VIII.1,3,https://pompeiiinpictures.com/pompeiiinpictures/R8/8%2001%2003%20p1.htm
Pompeii,VIII.2,0,https://pompeiiinpictures.com/pompeiiinpictures/R8/8%2002%2001%20p1.htm
Pompeii,VIII.2,1,https://pompeiiinpictures.com/pompeiiinpictures/R8/8%2002%2001%20p1.htm
Pompeii,VIII.2,"3,14-16",https://pompeiiinpictures.com/pompeiiinpictures/R8/8%2002%2003.htm
Pompeii,VIII.2,17-23,https://pompeiiinpictures.com/pompeiiinpictures/R8/8%2002%2020.htm
Pompeii,VIII.2,26,https://pompeiiinpictures.com/pompeiiinpictures/R8/8%2002%2026%20p1.htm
Pompeii,VIII.2,28,https://pompeiiinpictures.com/pompeiiinpictures/R8/8%2002%2028%20p1.htm
Pompeii,VIII.2,30,https://pompeiiinpictures.com/pompeiiinpictures/R8/8%2002%2030%20p1.htm
Pompeii,VIII.2,34,https://pompeiiinpictures.com/pompeiiinpictures/R8/8%2002%2034%20entrance.htm
Pompeii,VIII.2,39,https://pompeiiinpictures.com/pompeiiinpictures/R8/8%2002%2039%20p1.htm
Pompeii,VIII.3,14,https://pompeiiinpictures.com/pompeiiinpictures/R8/8%2003%2014%20p1.htm
Pompeii,VIII.5,37,https://pompeiiinpictures.com/pompeiiinpictures/R8/8%2005%2037%20p1.htm
Pompeii,VIII.7,20,https://pompeiiinpictures.com/pompeiiinpictures/R8/8%2007%2020%20p1.htm
Pompeii,VIII.7,16,https://pompeiiinpictures.com/pompeiiinpictures/R8/8%2007%2016%20p1.htm
Pompeii,VIII.7,28,https://pompeiiinpictures.com/pompeiiinpictures/R8/8%2007%2028%20p1.htm
Pompeii,VIII.7,30,https://pompeiiinpictures.com/pompeiiinpictures/R8/8%2007%2030%20p1.htm
