Name,Indexing Key
absyrtus,Absyrtus
attice,Attice
africanus,Africanus
agathemerus,Agathemerus
albanus,Albanus
albinus,Albinus
alcestis,Alcestis
amethyste,Amethyste
anicetum,Anicetum
aniciae,Anicia
annius,Annius
anthis,Anthis
antoni,Antonius
antymo,Antymus
apollinaris,Apollinaris
apollonia,Apollonia
arrius,Arrius
artorius,Artorius
atimetus,Atimetus
auctillus,Auctillus
beronice,Beronice
caesaris,Caesar
caetronius,Caetronius
caius,Caius
callistus,Callistus
careius,Careius
chie,Chius
chloe,Chloe
cinnamus,Cinnamus
clementis,Clemens
clemens,Clemens
cypare,Cyparis
daphnus,Daphnus
david,David
echio,Echio
epagathus,Epagathus
epaphroditum,Epaphroditum
epicurus,Epicurus
epidius,Epidius
euhodus,Euhodus
euplia,Euplia
evanthus,Evanthus
fabia,Fabia
fabio,Fabius
faustillam,Faustillam
faustio,Faustio
faustus,Faustus
fausta,Faustus
favstvs,Faustus
feliculam,Feliculam
floronius,Floronius
fortunata,Fortunata
fortun(a)tus,Fortunatus
fronto,Fronto
fructus,Fructus
fuficia,Fuficia
fulvius,Fuluius
fusci,Fuscus
geganius,Geganius
hermeros,Hermeros
hermerotem,Hermeros
holconi,Holconi
hortensi,Hortensius
hostius,Hostius
hyacinthus,Hyacinthus
hyginus,Hyginus
ianuaria,Ianuaria
ianuariae,Ianuaria
ianuarìae,Ianuaria
ianuariaes,Ianuaria
ianuarias,Ianuarius
ianuarius,Ianuarius
iarinus,Iarinus
icarus,Icarus
icare,Icarus
ikarus,Icarus
iuliam,Iulia
iulias,Iulias
iulium,Iulius
iuli,Iulius
iulius,Iulius
iunius,Iunius
lalius,Lalius
laviniam,Laviniam
lollianus,Lollianus
lollius,Lollius
longinus,Longinus
lucilius,Lucilius
luci,Lucius
lucii,Lucius
lucreti,Lucreti
lucrio,Lucrius
marca,Marca
marcello,Marcellus
marcius,Marcius
marcus,Marcus
marco,Marcus
marci,Marcus
modestus,Modestus
modesti,Modestus
mopsus,Mopsus
mulam,Mula
mula,Mula
mus,Mus
myrine,Myrine
mystice,Mysticus
nauplius,Nauplius
nicanor,Nicanor
nicopolis,Nicopolis
noeto,Noeto
onesimus,Onesimus
paris,Paris
phoebus,Phoebus
pierus,Pierus
popillius,Popillius
popius,Popius
porcius,Porcius
postumi,Postumus
postumius,Postumus
prìmigeniae,Primigenia
primigenia,Primigenia
primigenio,Primigenius
procame,Procame
proculo,Proculus
proculus,Proculus
publius,Publius
quartilla,Quartilla
romulus,Romulus
rufini,Rufinus
rufula,Rufula
rufus,Rufus
rufi,Rufus
sabina,Sabina
sabinus,Sabinus
saturninae,Saturninae
saturninus,Saturninus
semproni,Sempronius
septumius,Septumius
silentiolus,Silentiolus
sisininus,Sisininus
spaerus,Spaerus
stratonicus,Stratonicus
suellius,Suellius
symmachus,Symmachus
symphorus,Symphorus
syneros,Syneros
synethus,Synethus
syrus,Syrus
tertio,Tertius
ti,Tiberius
timinia,Timinia
tironis,Tiro
titinius,Titinius
titus,Titus
titi,Titus
valentina,Valentina
venusta,Venustus
venus,Venus
verginiam,Verginiam
vinicius,Vinicius
vitalio,Vitalio
vivanius,Vivanius
voconius,Voconius
voltinia,Voltinia
votroni,Votronius
διογένης,Διογένης
phoebì,Phoebus
cτρατονικοc,Cτρατονικοc
νεικήτης,Νεικήτης
κέλσου,Κέλσος
εἴσιδι,Ἴσις
<ἰσ>ίδωρος,Ἰσίδωρος
φίλιππος,Φίλιππος
χαρίας,Χαρίας
λουκος,Λούκιος
ἡγεῖνος,Ὑγεῖνος
φιλεῖνος,Φιλεῖνος
χαρίτων,Χαρίτων
ὑιείνου,Ὑγεῖνος
ἀρτεμιδώρου,Ἀρτεμίδωρος
σαβεῖνε,Σαβεῖνος
εὐστα〚υτω〛θίου,Εὐστάθιος
τίτος,Τίτος
ἀλέξανδρε,Ἀλέξανδρος
πρυτανικός,Πρυτανικός
ἡρακλείδης,Ἡρακλείδης
νεῖλος,Νεῖλος
εἴσις,Ἴσις
παρθένα,Παρθένα
φοῦσκος,Φοῦσκος
λειοντισ,Λεόντιος Λεοντίσκος
θεαγένης,Θεαγένης
εὐφροσύνη,Εὐφροσύνη
ὀνησίμου,Ὀνήσιμος
[---τ]ροφίμη,Τρύφων
εὐπρέπης,Εὐπρέπης
tύχη,Tύχη
ὀνήσιμε,Ὀνήσιμος
δημόκριτος,Δημόκριτος
τροφίμη,Τροφίμη
θάλλος,Θάλλος
λειοντισ[ ],Λεόντιος Λεοντίσκος
διογένης,Διογένης
διογένης,Διογένης
