term,lemma
(?),(?)
ʾ,ʾ
τοὺς,ὁ
τῆς,ὁ
τὴν,ὁ
τοῦ,ὁ
τῷ,ὁ
τῇ,ὁ
ἡ,ὁ
τῶν,ὁ
τὸ,ὁ
ὁ,ὁ
τὸν,ὁ
((%1000)),((%1000))
ab,"a, ab"
a,"a, ab"
abellanus,abellanus
abonius,abonius
absistit,"absisto, absistere"
absyrtus,Absyrtus
acanthus,"acanthus, acanthi"
acastus,acastus
ac(ce)pi,ac(ce)pi
(accepit),(accepit)
accipe,"accipio, accipere"
accepit,"accipio, accipere"
acceptum,"accipio, accipere"
acutius,acuo
acutum,"acutus, acuta, acutum"
acutus,"acutus, acuta, acutum"
ad,ad
admiror,admiror
advice,aduice
aebuti,aebuti
aedes,"aedes, aedis"
aedificium,"aedificium, aedificii"
aedilis,"aedilis, aedilis"
aedituus,"aedituus, aeditui"
aegle,aegle
aegrotes,"aegroto, aegrotare"
aemilio,aemilius
aenea,Aeneas
aeneam,"aeneus, aenea, aeneum"
aequae,"aequus, aequa, aequum"
aeris,"aer, aeris"
aestost,aestost
africano,africa
africanus,Africanus
agathemerus,Agathemerus
ager,"ager, agri"
agnas,"agna, agnae"
age,"ago, agere"
acti,"ago, agere"
agit,"ago, agere"
agrippa,agrippa
aiunt,aio
alis,"ala, alae"
albanius,albanius
albanus,Albanus
albinus,Albinus
alcestis,Alcestis
algemus,algemus
alica,"alica, alicae"
aliae,"alius, alia, alium"
aliis,"alius, alia, alium"
alleius,alleius
alisque,"alo, alere"
alo,"alo, alere"
aluntius,aluntius
amabiliter,"amabilis, amabiliis"
amator,"amator, amatoris"
amethyste,Amethyste
amicus,"amicus, amici"
ammonium,ammonium
amat,"amo, amare"
amare,"amo, amare"
amata,"amo, amare"
amas,"amo, amare"
ames,"amo, amare"
amon,"amo, amare"
amonius,amonius
amor,"amor, amoris"
ampliandam,ampliandam
ampliatus,"amplio, ampliare"
anaticulas,"anaticula, anaticulae"
anatolii,anatolii
anchario,anchario
ancora,"ancora, ancorae"
anedia,anedia
anicete,anicete
aniceti,aniceti
anicetum,Anicetum
aniciae,Anicia
animal,"animal, animalis"
animalia,"animal, animalis"
animum,"animus, animi"
annius,Annius
ana,ano
anser,"anser, anseris"
ante,ante
anteriores,anteriores
anthis,Anthis
anthus,anthus
antiochus,antiochus
antonius,antonius
antoni,Antonius
antymo,Antymus
anus,"anus, anus"
apeleis,apeleis
apelles,apello
apex,"apex, apicis"
aphrodite,aphrodite
aplustre,aplustre
apollinaris,Apollinaris
apollonia,Apollonia
apriculus,apriculus
apriles,aprilis
aprilis,aprilis
apsyrtus,apsyrtus
aptus,"aptus, apta, aptum"
aquas,"aqua, aquae"
aquis,"aqua, aquae"
aquaria,aquarius
aquiti,aquiti
ara,"ara, arae"
arboris,"arbor, arboris"
aristo,aristo
armis,"arma, armorum"
arma,"arma, armorum"
armaturiis,armaturiis
armatum,"armo, armare"
armatus,"armo, armare"
arrius,Arrius
artorius,Artorius
artus,"artus, arta, artum"
asas,asas
asbestus,asbestus
ascula,ascula
"asella, asellae","asella,"
asella(?),asella(?)
asella,"asella, asellae"
asellam,asellam
asini,"asinus, asini"
asseres,"assero, asserere"
(assibus),(assibus)
asse,assis
assem,assis
assibus,assis
asses,"asso, assare"
adsueta,assuesco
assultatus,"assulto, assultare"
astragalus,astragalus
atavus,atavus
atellana,atellana
ater,"ater, atra, atrum"
atilius,atilius
atillius,atillius
atimetus,Atimetus
atinas,atineo
ac,atque
atque,atque
attice,Attice
attilio,attilio
attine,attine
attium,attium
atτiκαις,atτiκαις
auctillus,Auctillus
aug,aug
auget,"augeo, augere"
auctus,"augeo, augere"
augu,augu
augurus,augurus
augustalis,augustal
augustiana,augustiana
augustas,"augustus, augusta, augustum"
aulum,aulis
auli,aulis
aulus,aulus
alterae,"alter, altera, alterum"
alterum,"alter, altera, alterum"
altera,"alter, altera, alterum"
alter,"alter, altera, alterum"
aurelius,aurelius
aut,aut
aviani,aviani
aves,"avis, avis"
ave,"avus, avi"
avis,"avus, avi"
bn,b
baculo,"baculus, baculi"
baculum,"baculus, baculi"
balbus,"balbus, balba, balbum"
barbati,"barbatus, barbata, barbatum"
barbata,"barbatus, barbata, barbatum"
barnaee,barnaee
basim,basim
basis,"basis, basis"
batacare,batacaris
beliatus,beliatus
bellicus,"bellicus, bellica, bellicum"
bellis,"bellum, belli"
bellissimus,"bellus, bella, bellum"
bene,benius
beronice,Beronice
bibe,"bibo, bibere"
biberes,"bibo, bibere"
binet,binet
binas,bini
bis,bis
