term,unigram pos,123 ngram pos,uni vs 123 ngram
((:navis)),review,review,Same
anthis,review,review,Same
vale,verb,verb,Same
nicopolis,review,review,Same
((:circulus,review,review,Same
continens,review,review,Same
florem)),noun,noun,Same
plataco,review,review,Same
turuda,review,review,Same
((:navis,review,review,Same
cum,conjunction,conjunction,Same
remis)),noun,noun,Same
((:carina,review,review,Same
navis,noun,noun,Same
et,conjunction,conjunction,Same
navis,noun,noun,Same
cum,conjunction,conjunction,Same
remis,noun,noun,Same
instructa)),participle,participle,Same
((:crux,review,review,Same
orbiculis,review,review,Same
ad,preposition,preposition,Same
extremum,adjective,adjective,Same
bracchiorum)),review,review,Same
((:duo,review,review,Same
phalli,review,review,Same
ad,preposition,preposition,Same
d)),review,review,Same
primus,adjective,adjective,Same
((:palma)),review,review,Same
&#60;:vacat&#62;,review,review,Same
αβγ,review,review,Same
((:phallus,review,review,Same
ad,preposition,preposition,Same
dext)),review,review,Same
((:quadrupes,review,review,Same
ad,preposition,preposition,Same
d,review,review,Same
erectus)),review,review,Same
emis,review,review,Same
k,review,review,Same
marcius,noun,noun,Same
atimetus,review,review,Same
((:taurus,review,review,Same
ad,preposition,preposition,Same
d)),review,review,Same
πiiii,review,review,Same
((:gladiator,review,review,Same
ad,preposition,preposition,Same
d,review,review,Same
galea,review,review,Same
scuto,review,review,Same
subligaculo,review,review,Same
ocreis,review,review,Same
armatus)),noun,noun,Same
assibus,review,review,Same
stabuli,review,review,Same
((:trophaeum?)),review,review,Same
ii+,pronoun,pronoun,Same
((:gladiator,review,review,Same
cum,conjunction,conjunction,Same
tridenti,review,review,Same
ad,preposition,preposition,Same
sin,conjunction,conjunction,Same
retiarius)),review,review,Same
((:caput,review,review,Same
hominis,noun,noun,Same
ad,preposition,preposition,Same
sin,conjunction,conjunction,Same
conversum)),review,review,Same
vasa,noun,noun,Same
((:avis,review,review,Same
externa,adjective,adjective,Same
in,preposition,preposition,Same
arboris,review,review,Same
ramo,noun,noun,Same
stans)),review,review,Same
felices,adjective,adjective,Same
((:gladiator,review,review,Same
galea,review,review,Same
cristata,review,review,Same
scuto,review,review,Same
sicaque,review,review,Same
armatus,noun,noun,Same
et,conjunction,conjunction,Same
fasciis,noun,noun,Same
subligaculo,review,review,Same
ocreisque,review,review,Same
indutus)),review,review,Same
((:galea,review,review,Same
gladiatoria)),review,review,Same
((:gladiator,review,review,Same
ad,preposition,preposition,Same
d,review,review,Same
armatus)),noun,noun,Same
((:herma,review,review,Same
ad,preposition,preposition,Same
sin)),conjunction,conjunction,Same
((:gladiator,review,review,Same
gladio,noun,noun,Same
et,conjunction,conjunction,Same
scuto,review,review,Same
longo,adjective,adjective,Same
armatus)),noun,noun,Same
((:circulus,review,review,Same
circulos,noun,noun,Same
continens)),review,review,Same
victorie,review,review,Same
((:tropaion?)),review,review,Same
anteros,review,review,Same
hoc,pronoun,pronoun,Same
scripsit,verb,verb,Same
((:caput,review,review,Same
gladiatoris?,review,review,Same
ad,preposition,preposition,Same
d)),review,review,Same
quisquis,pronoun,pronoun,Same
hellespontus,review,review,Same
((:scutum)),review,review,Same
ikarus,review,review,Same
θ,review,review,Same
vesbinus,review,review,Same
((:caput,review,review,Same
hominis,noun,noun,Same
ad,preposition,preposition,Same
sin)),conjunction,conjunction,Same
((:galea,review,review,Same
gladiatoria,review,review,Same
cristata)),review,review,Same
((:figura,review,review,Same
hominis)),noun,noun,Same
firmus,review,review,Same
diogenes,noun,noun,Same
((:figura,review,review,Same
hominis,noun,noun,Same
ad,preposition,preposition,Same
d,review,review,Same
induta,participle,participle,Same
palliolo)),review,review,Same
((:figura,review,review,Same
gladiatoris,review,review,Same
cum,conjunction,conjunction,Same
galea,review,review,Same
ac,conjunction,conjunction,Same
fortasse,adverb,adverb,Same
scuto)),review,review,Same
victor,noun,noun,Same
cum,conjunction,conjunction,Same
victoria,noun,noun,Same
invicta,review,review,Same
hic,pronoun,adverb,NOT same
((:navis,review,review,Same
cum,conjunction,conjunction,Same
malo,verb,verb,Same
velo,review,review,Same
et,conjunction,conjunction,Same
