Segment Name,Street Name,Display Name,Hidden
V.1-9,Cardo IV,Insula V (NW side),FALSE
Decumanus Maximus,Decumanus Maximus,,TRUE
III.11-19,Cardo IV,Insula III (SE side),FALSE
IV.10-15,Decumanus Inferior,Insula IV (NE side),FALSE
V.34-35,Decumanus Inferior,Insula V (SW side),FALSE
Decumanus Inferior Uncertain,Decumanus Inferior,,TRUE
IV.1-9,Cardo IV,Insula IV (NW side),FALSE
I.2.23-32,Vicolo del Conciapelle,I.2 (S side),FALSE
I.2.14-18,Vicolo btw 1.3 and 1.2 and extension,I.2 (N side),FALSE
I.2.19-22,Vicolo del Citarista,I.2 (E side),FALSE
I.3.13-24,Vicolo del Menandro,I.3 (N side),FALSE
I.3.25-29,Vicolo del Citarista,I.3 (E side),FALSE
I.4.1-15,Strada Stabiana,I.4 (W side),FALSE
I.4.16-27,Via dell'Abbondanza,I.4 (N side),FALSE
I.4.27-28,Vicolo del Citarista,I.4 (E side),FALSE
I.4.28,Vicolo del Menandro,I.4 (S side),FALSE
I.5.1-2,Vicolo del Conciapelle,I.5 (N side),FALSE
I.5.3,Vicolo del Citarista,I.5 (E side),FALSE
I.6.12-13,Vicolo del Citarista,I.6 (W side),FALSE
I.6.1-12,Via dell'Abbondanza,I.6 (N side),FALSE
I.6.13-16,Vicolo del Menandro,I.6 (S side),FALSE
I.7.15-20,Vicolo di Paquio Proculo,I.7 (W side),FALSE
I.7.1-8,Via dell'Abbondanza,I.7 (N side),FALSE
I.7.14,Via di Castricio,I.7 (S side),FALSE
I.8.16-19,Vicolo dell'Efebo,I.8 (W side),FALSE
I.8.1-8,Via dell'Abbondanza,I.8 (N side),FALSE
I.8.13-15,Via di Castricio,I.8 (S side),FALSE
I.9.1-6,Via dell'Abbondanza,I.9 (N side),FALSE
I.9.7-10,Vicolo btw I.9 and I.11,I.9 (E side),FALSE
I.10.1-8,Vicolo del Menandro,I.10 (N side),FALSE
I.10.13-18,Vicolo di Paquio Proculo,I.10 (E side),FALSE
I.11.12-17,Vicolo btw I.9 and I.11,I.11 (W side),FALSE
I.11.1-7,Via dell'Abbondanza,I.11 (N side),FALSE
I.12.13-16,Vicolo della Nave Europa,I.12 (W side),FALSE
I.12.1-5,Via dell'Abbondanza,I.12 (N side),FALSE
I.12.8-12,Via di Castricio,I.12 (S side),FALSE
I.13.1-5,Via dell'Abbondanza,I.13 (N side),FALSE
I.13.6-9,Via di Porta Nocera,I.13 (E side),FALSE
I.13.10-13,Via di Castricio,I.13 (S side),FALSE
I.14.6-8,Via di Castricio,I.14 (N side),FALSE
I.15.1-3,Via di Castricio,I.15 (N side),FALSE
I.16.1-5,Via di Castricio,I.16 (N side),FALSE
I.17.1-3,Via di Castricio,I.17 (N side),FALSE
I.19.1-8,Vicolo btw 1.3 and 1.2 and extension,I.19 (N side),FALSE
I.20.1-4,Via di Porta Nocera,I.20 (E side),FALSE
II.1.1-6,Via dell'Abbondanza ,II.1 (N side),FALSE
II.1.9-13,Via di Porta Nocera,II.1 (W side),FALSE
II.3.1-5,Via dell'Abbondanza ,II.3 (N side),FALSE
II.4.1-7,Via dell'Abbondanza,II.4 (N side),FALSE
II.4.8,Vicolo dell'Anfiteatro,II.4 (E side),FALSE
II.4.9,Via di Castricio,II.4 (S side),FALSE
II.4.10-12,Vicolo di Giulia Felice,II.4 (W side),FALSE
II.5.1-3,Via dell'Abbondanza,II.5 (N side),FALSE
II.7.1-2,Via di Castricio,II.7 (N side),FALSE
II.8.1-6,Via di Porta Nocera,II.8 (W side),FALSE
II.9.1-5,Via di Porta Nocera,II.9 (W side),FALSE
III.2.1-3,Via dell'Abbondanza,III.2 (S side),FALSE
III.3.1-6,Via dell'Abbondanza,III.3 (S side),FALSE
III.4.a-f,Via di Porta Nocera,III.4 (W side),FALSE
III.4.1-3,Via dell'Abbondanza,III.4 (S side),FALSE
III.5.1-5,Via dell'Abbondanza,III.5 (S side),FALSE
III.6.1-6,Via dell'Abbondanza,III.6 (S side),FALSE
III.7.1-2,Via dell'Abbondanza,III.7 (S side),FALSE
III.10.1-6,Via di Nola,III.10 (N side),FALSE
V.1.1-8,Via di Nola,V.1 (S side),FALSE
V.1.11-12,Vicolo delle Nozze d'Argento,V.1 (N side),FALSE
V.1.13-32,Strada Stabiana / Via del Vesuvio,V.1 (W side),FALSE
V.2.a-f,Vicolo di Cecilio Giocondo,V.2 (W side),FALSE
V.2.g-i,Vicolo delle Nozze d'Argento,V.2 (N side),FALSE
V.3.1-8,Via di Nola,V.3 (S side),FALSE
V.3.9-12,Vicolo di Lucrezio Frontone,V.3 (E side),FALSE
V.4.a-d,Vicolo di Lucrezio Frontone,V.4 (W side),FALSE
V.4.8-13,Vicolo dei Gladiatori,V.4 (E side),FALSE
V.5.unnumbered,Vicolo dei Gladiatori,V.5 (W side),FALSE
V.5.1-4,Via di Nola,V.5 (S side),FALSE
V.6.a-c,Vicolo delle Nozze d'Argento,V.6 (S side),FALSE
V.6.1-18,Strada Stabiana / Via del Vesuvio,V.6 (W side),FALSE
V.7.1-6,Vicolo delle Nozze d'Argento,V.7 (S side),FALSE
VI.1.1-19,Strada Consolare,VI.1 (W side),FALSE
VI.1.20-26,Vicolo di Narciso,VI.1 (E side),FALSE
VI.2.1-18,Vicolo di Narciso,VI.2 (W side),FALSE
VI.2.19-31,Vicolo di Modesto,VI.2 (E side),FALSE
VI.5.1-10,Vicolo di Modesto,VI.5 (W side),FALSE
"VI.6.1-4,21-23",Via delle Terme,VI.6 (S side),FALSE
VI.7.4-7,Vicolo di Mercurio,VI.7 (S side),FALSE
VI.7.8-26,Via di Mercurio,VI.7 (E side),FALSE
VI.8.4-11,Via delle Terme,VI.8 (S side),FALSE
VI.8.12-24,Via di Mercurio,VI.8 (E side),FALSE
VI.9.1-7,Via di Mercurio,VI.9 (W side),FALSE
VI.9.8-14,Vicolo del Fauno,VI.9 (E side),FALSE
VI.10.10-15,Via della Fortuna,VI.10 (S side),FALSE
VI.11.11-20,Vicolo del Labirinto,VI.11 (E side),FALSE
VI.12.1-6,Via della Fortuna,VI.12 (S side),FALSE
VI.12.8,Vicolo del Fauno,VI.12 (W side),FALSE
VI.12.unnumbered,Vicolo del Labirinto,VI.12 (E side),FALSE
VI.13.1-7,Vicolo del Labirinto,VI.13 (W side),FALSE
VI.13.17-21,Via della Fortuna,VI.13 (S side),FALSE
VI.14.17-31,Strada Stabiana / Via del Vesuvio,VI.14 (E side),FALSE
VI.14.36-44,Vicolo dei Vettii,VI.14 (W side),FALSE
