ID number,Smyrna #,p. #,,City,,,,,Drawing Category,Caption for Graffito,Latin Description of Figural Graffito,English Description of Figural Graffito,Writing Style
leave blank for now; will be SMY123456,,,,Smyrna,,,,,Animals / Boats / Erotic images / Geometric designs / Gladiators / Human figures / Other / Plants,,leave blank for now,leave blank for now,"Carbone, Litt. Scariph., Pictura"
SMYTX0001,TX.1 ,56,,Smyrna ,,,,,,,,,Litt. Scariph. 
SMYTX0002,TX.2,58,,Smyrna ,,,,,,,,,Carbone
SMYTX0003,TX.3,59,,Smyrna ,,,,,,,,,Carbone
SMYTG0021,TG2.1,62,,Smyrna ,,,,,,,,,Carbone
SMYTG0031,TG3.1,65,,Smyrna ,,,,,,,,,Litt. Scariph. 
SMYDP0061,DP6.1,66,,Smyrna ,,,,,,,((:imago incerta)),((:image of uncertain nature)),Litt. Scariph. 
SMYDG0041,DG4.1,68,,Smyrna ,,,,,Boats,Drawing of a boat,((:navis)),((:boat)),Carbone
SMYTG0061,TG6.1,70,,Smyrna ,,,,,,,,,Litt. Scariph. 
SMYTG0062,TG6.2,71,,Smyrna ,,,,,,,,,Carbone
SMYTG0063,TG6.3,71,,Smyrna ,,,,,,,,,Carbone
SMYTG0064,TG6.4,72,,Smyrna ,,,,,,Riddle,,,Carbone
SMYT00011,T1.1,75,,Smyrna ,,,,,,,,,Carbone
SMYT00012,T1.2,77,,Smyrna ,,,,,,,,,Carbone
SMYD00011,D1.1,78,,Smyrna ,,,,,Gladiators,Drawing of a gladiator,((:caput gladiatoris ad sin.)),((:head of gladiator facing left)),Carbone
SMYD00012,D1.2,79,,Smyrna ,,,,,Gladiators,Drawing of a gladiator,((:figura gladiatoris)),((:figure of gladiator)),Carbone
SMYD00013,D1.3,80,,Smyrna,,,,,Human Figures,Drawing of a face,((:herma viri)),((:bust of man)),Pictura
SMYD00014,D1.4,82,,Smyrna,,,,,Plants,Drawing of an ivy leaf,((:folium hederae)),((:ivy leaf)),Carbone
SMYDP0121,DP12.1,83,,Smyrna ,,,,,Animals,Drawing of a fish ,((:piscis nat ad sin.)),((:fish swimming to the left)),Carbone
SMYT00021,T2.1,85,,Smyrna,,,,,,,,,Carbone
SMYT00022,T2.2,86,,Smyrna,,,,,,,,,Carbone
SMYD00021,D2.1,87,,Smyrna ,,,,,Boats,Drawing of a boat ,((:navis)),((:boat)),Carbone
SMYT00041,T4.1,89,,Smyrna,,,,,,,,,Carbone
SMYD00041,D4.1,90,,Smyrna,,,,,Boats,Drawing of a boat,((:navis)),((:boat)),Carbone
SMYDP0151,DP15.1,91,,Smyrna ,,,,,Animals,Drawing of a fish,((:piscis natandus ad dext.)),((:fish swimming to the right)),Carbone
SMYT00051,T5.1,93,,Smyrna,,,,,,"Declaration of love, isopsephism",,,Carbone
SMYT00052,T5.2,94,,Smyrna,,,,,,,,,Carbone
SMYT00053,T5.3,95,,Smyrna ,,,,,,,,,Carbone
SMYD00051,D5.1,96,,Smyrna,,,,,Boats,Drawing of a boat,((:navis)),((:boat)),Carbone
SMYD00052,D5.2,97,,Smyrna,,,,,Erotic images,Drawing of a phallus,((:phallus)),((:phallus)),Carbone
SMYD00053,D5.3,98,,Smyrna ,,,,,Gladiator,Drawing of a gladiator,((:gladiator cum scuto)),((:gladiator with shield)),Pictura
SMYT00061,T6.1,100,,Smyrna,,,,,,,,,Carbone
SMYT00062,T6.2,101,,Smyrna,,,,,,,,,Carbone
SMYD00061,D6.1,102,,Smyrna ,,,,,Boats,Drawing of a boat,((:navis)),((:boat)),Carbone
SMYD00062,D6.2,103,,Smyrna,,,,,Animals,Drawing of a cat,((:feles)),((:cat)),Litt. Scariph.
SMYT00081,T8.1,105,,Smyrna,,,,,,,,,Carbone
SMYT00082,T8.2,106,,Smyrna ,,,,,,,,,Carbone
SMYD00081,D8.1,108,,Smyrna,,,,,Erotic Images,Drawing of a Phallus,((:phallus)),((:phallus)),Carbone
SMYD00082,D8.2,109,,Smyrna,,,,,Erotic Images,Drawing of a Phallus,((:phallus)),((:phallus)),Carbone
SMYD00083,D8.3,110,,Smyrna ,,,,,Boats,Drawing of a boat,((:navis)),((:boat)),Carbone
SMYD00084,D8.4,111,,Smyrna,,,,,Human figures,Drawing of a face,((:caput hominis ad sin.)),((:head of person facing left)),Carbone
SMYD00085,D8.5,112,,Smyrna,,,,,Boats,Drawing of a boat,((:navis)),((:boat)),Carbone
SMYD00086,D8.6,113,,Smyrna ,,,,,Human figures,Drawing of a stick figure,"((:figura hominis, tantum caput extat))","((:human figure, only head remains))",Carbone
SMYD00087,D8.7,114,,Smyrna,,,,,Other,"Drawing of a venatio, hunting scene",((:venatio)),((:hunt)),"Carbone, Pictura"
SMYT00091,T9.1,116,,Smyrna,,,,,,,,,Carbone
SMYT00092,T9.2,117,,Smyrna,,,,,,,,,Carbone
SMYT00093,T9.3,118,,Smyrna,,,,,,,,,Carbone
SMYT00094,T9.4,119,,Smyrna,,,,,,,,,Carbone
SMYT00095,T9.5,120,,Smyrna,,,,,,,,,Carbone
SMYT00096,T9.6,122,,Smyrna,,,,,,,,,Carbone
SMYT00097,T9.7,124,,Smyrna,,,,,,,,,Carbone
SMYT00098,T9.8,126,,Smyrna,,,,,,,,,Carbone
SMYT00099,T9.9,127,,Smyrna,,,,,,,,,Carbone
SMYD00091,D9.1,128,,Smyrna ,,,,,Gladiator,Gladiator,"((:gladiator, murmillo cum scuto))","((:gladiator, murmillo with shield))",Carbone
SMYD00092,D9.2,129,,Smyrna,,,,,Boat,Boats,((:navis)),((:ship)),Carbone
SMYT00101,T10.1,131,,Smyrna,,,,,,,,,Carbone
SMYT00102,T10.2,132,,Smyrna ,,,,,,,,,Carbone
SMYD00101,D10.1,133,,Smyrna,,,,,Other,Drawing of an axe,((:securis)),((:axe)),Litt. Scariph. 
SMYT00111,T11.1,135,,Smyrna,,,,,,,,,Carbone
SMYT00112,T11.2,136,,Smyrna ,,,,,,,,,Carbone
SMYT00113,T11.3,137,,Smyrna ,,,,,,,,,Carbone
SMYT00114,T11.4,139,,Smyrna,,,,,,,,,Litt. Scariph. 
SMYD00111,D11.1,141,,Smyrna,,,,,Boats,Drawing of a boat,((:navis)),((:ship)),"Carbone, Pictura"
SMYD00112,D11.2,142,,Smyrna ,,,,,Gladiator,Drawing of a gladiator,((:gladiator cum palma ad sin.)),((:gladtiator with palm facing left)),Carbone
SMYD00113,D11.3,143,,Smyrna,,,,,Gladiator,Drawing of a gladiator,((:gladiator cum scuto)),((:gladiator with shield)),Carbone
SMYD00114,D11.4,144,,Smyrna,,,,,Human Figures,Drawing of a face,((:caput hominis ad sin.)),((:head of person facing left)),Carbone
SMYD00115,D11.5,145,,Smyrna ,,,,,Erotic Images,Drawing of a phallus,((:phallus)),((:phallus)),Carbone
SMYD00116,D11.6,146,,Smyrna ,,,,,Boats,Drawing of a boat,((:navis)),((:boat)),Carbone
SMYT00121,T12.1,148,,Smyrna,,,,,,Word square,,,Carbone
SMYT00122,T12.2,149,,Smyrna,,,,,,Healing Inscription ,,,Carbone
SMYT00123,T12.3,151,,Smyrna ,,,,,,,,,Carbone
SMYT00124,T12.4,153,,Smyrna,,,,,,,,,Carbone
SMYT00125,T12.5,154,,Smyrna,,,,,,Praise of an Athlete,,,Carbone
SMYT00126,T12.6,156,,Smyrna ,,,,,,,,,Carbone
SMYT00127,T12.7,157,,Smyrna ,,,,,,,,,Carbone
SMYT00128,T12.8,158,,Smyrna,,,,,,,,,Carbone
SMYT00129,T12.9,159,,Smyrna,,,,,,,,,Carbone
SMYT01210,T12.10,161,,Smyrna ,,,,,,,,,Carbone
SMYD00121,D12.1,162,,Smyrna,,,,,Boats,Drawing of a boat,((:navis)),((:boat)),Carbone
SMYD00122,D12.2,163,,Smyrna,,,,,Human figures,Drawing of a face,((:caput hominis ad sin.)),((:head of person facing left)),Carbone
SMYD00123,D12.3,164,,Smyrna ,,,,,,,,,Carbone
SMYD00124,D12.4,164,,Smyrna ,,,,,Gladiator,Drawing of a gladiator,((:galea gladiatoris ad sin.)),((:gladiatorial helmet facing left)),Carbone
SMYD00125,D12.5,165,,Smyrna,,,,,Geometric designs,Drawing of a series of wavy lines,((:lineae)),((:lines)),Carbone
SMYT00131,T13.1,167,,Smyrna,,,,,,,,,Carbone
SMYT00132,T13.2,168,,Smyrna ,,,,,,,,,Carbone
SMYT00133,T13.3,169,,Smyrna,,,,,,,,,Carbone
