EDR154563,Vale
EDR081348,Publi
EDR081348,Arrius
EDR145936,Echio
EDR140257,kalendas
EDR140257,kalendas
EDR154575,cinaedus
EDR154575,Lasius
EDR151898,Flavia
EDR151898,lingis
EDR151898,Θ
EDR081347,Arrius
EDR081347,Publius
EDR140061,accepit
EDR140061,Crusali
EDR140061,Secundus
EDR140061,et
EDR140061,Valentina
EDR081349,curia
EDR081349,In
EDR152931,Σαβίνιο
EDR152931,S retrogradum
EDR154534,Echio
EDR154421,asses
EDR140254,Idibus
EDR140254,Ianuarias
EDR140254,mystagogus
EDR140254,μυσταγωγός
EDR140254,docens
EDR140254,Etoen
EDR140254,et
EDR140036,senatus
EDR140036,Ex
EDR140036,consulto
EDR140036,mansi
EDR140255,Porcius
EDR140255,Sextus
EDR140255,s
EDR140198,Aniciae
EDR140171,matri
EDR140171,Saturninae
EDR140171,assibus
EDR140171,uncus
EDR112869,ὁ
EDR112869,Διογένης
EDR112869,φιλόσοφος
EDR112869,κυνικὸς
EDR112869,γυναῖκα
EDR112869,ἰδὼν
EDR112869,ποταμοῦ
EDR112869,ὑπὸ
EDR112869,εἶπεν·
EDR112869,φερομένην
EDR112869,ἄφες
EDR112869,κακ⌜ὸ⌝ν
EDR112869,τὸ
EDR112869,κακοῦ
EDR112869,ὑπὸ
EDR144354,Faustus
EDR144354,Θ
EDR144354,Nothus
EDR144354,Nothus
EDR140224,a
EDR140224,Tertio
EDR151892,Cosmus
EDR140219,suae
EDR140219,genius
EDR140219,salutem
EDR140223,redire
EDR140223,minus
EDR140223,si
EDR140223,et
EDR140223,innectebis
EDR140223,te
EDR140226,quo
EDR140226,Secundus
EDR140226,Hectic
EDR140226,plurimam
EDR140131,Crocale
EDR151863,Hostius
EDR151863,Caius
EDR154444,Omnes
EDR140135,amor
EDR140135,Hic
EDR081346,Mammium
EDR081346,rogamus
EDR081346,Anicetum
EDR081346,curia
EDR140039,broc
EDR140039,Branc
EDR140039,nus
EDR140039,trans
EDR140039,tros
EDR140039,Noster
EDR140039,men
EDR140039,quid
EDR140039,Quod
EDR140039,quas
EDR140039,quae
EDR140039,quis
EDR140039,Rum
EDR140039,dem
EDR140039,que
EDR140039,les
EDR140039,Con
EDR140039,mul
EDR140039,lis
EDR140039,ma
EDR140039,Mol
EDR140039,me
EDR150399,Aviani
EDR150399,Luci
EDR150399,votum
EDR140206,Oceanus
EDR140141,centonem
EDR140141,Centurio
EDR140141,habet
